Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score
17-AAG	ENSG00000181019	0.60479893	0.60479893	-0.60479893
17-AAG	FER1L3	0.471064515	0.471064515	-0.471064515
17-AAG	ENSG00000163191	0.46348307	0.46348307	-0.46348307
17-AAG	LRG_254	0.453811993	0.453811993	-0.453811993
17-AAG	ENSG00000197956	0.450966046	0.450966046	-0.450966046
17-AAG	ENSG00000164733	0.449997458	0.449997458	-0.449997458
17-AAG	ENSG00000131981	0.446564242	0.446564242	-0.446564242
17-AAG	ENSG00000134531	0.446288848	0.446288848	-0.446288848
17-AAG	ENSG00000131724	0.446181205	0.446181205	-0.446181205
17-AAG	ENSG00000172380	0.445868264	0.445868264	-0.445868264
17-AAG	ENSG00000006327	0.444498166	0.444498166	-0.444498166
17-AAG	LOC283677	0.444470973	0.444470973	-0.444470973
17-AAG	ENSG00000161011	0.44293008	0.44293008	-0.44293008
17-AAG	ENSG00000018408	0.442342186	0.442342186	-0.442342186
17-AAG	ENSG00000137693	0.43989494	0.43989494	-0.43989494
17-AAG	ENSG00000124942	0.438609936	0.438609936	-0.438609936
17-AAG	ENSG00000100196	0.437246696	0.437246696	-0.437246696
17-AAG	ENSG00000139289	0.437006399	0.437006399	-0.437006399
17-AAG	LRG_742	0.433721725	0.433721725	-0.433721725
17-AAG	ENSG00000007384	0.431502102	0.431502102	-0.431502102
17-AAG	ENSG00000135046	0.430126021	0.430126021	-0.430126021
17-AAG	ENSG00000182718	0.426571471	0.426571471	-0.426571471
17-AAG	ENSG00000049860	0.425973947	0.425973947	-0.425973947
17-AAG	LRG_51	0.425612086	0.425612086	0.425612086
17-AAG	C14ORF78	0.423701623	0.423701623	-0.423701623
17-AAG	ENSG00000175592	0.423435894	0.423435894	-0.423435894
17-AAG	ENSG00000177469	0.423255323	0.423255323	-0.423255323
17-AAG	ENSG00000274538	0.419831961	0.419831961	-0.419831961
17-AAG	ENSG00000162909	0.418723329	0.418723329	-0.418723329
17-AAG	ENSG00000150687	0.413463423	0.413463423	-0.413463423
17-AAG	ENSG00000189171	0.409842123	0.409842123	-0.409842123
17-AAG	ENSG00000105854	0.409169411	0.409169411	-0.409169411
17-AAG	ENSG00000124570	0.408999569	0.408999569	-0.408999569
17-AAG	ENSG00000197461	0.408753243	0.408753243	-0.408753243
17-AAG	ENSG00000119986	0.408162036	0.408162036	-0.408162036
17-AAG	ENSG00000198363	0.407533627	0.407533627	-0.407533627
17-AAG	ENSG00000124145	0.407139601	0.407139601	-0.407139601
17-AAG	ENSG00000145632	0.40707272	0.40707272	-0.40707272
17-AAG	42623	0.405664411	0.405664411	-0.405664411
17-AAG	ENSG00000177697	0.404899836	0.404899836	-0.404899836
17-AAG	ENSG00000135404	0.404788358	0.404788358	-0.404788358
17-AAG	ENSG00000168615	0.404069895	0.404069895	-0.404069895
17-AAG	C6ORF145	0.403951142	0.403951142	-0.403951142
17-AAG	ENSG00000072110	0.401845826	0.401845826	-0.401845826
17-AAG	ENSG00000172037	0.401093088	0.401093088	-0.401093088
17-AAG	ENSG00000082781	0.400618079	0.400618079	-0.400618079
17-AAG	MCM3APAS	0.396920312	0.396920312	0.396920312
17-AAG	ENSG00000102265	0.396848792	0.396848792	-0.396848792
17-AAG	ENSG00000075643	0.396771892	0.396771892	-0.396771892
17-AAG	ENSG00000221869	0.396054917	0.396054917	-0.396054917
17-AAG	ENSG00000024422	0.393665474	0.393665474	-0.393665474
17-AAG	ENSG00000196754	0.393574029	0.393574029	-0.393574029
17-AAG	ENSG00000169908	0.393265443	0.393265443	-0.393265443
17-AAG	ENSG00000101445	0.392788572	0.392788572	0.392788572
17-AAG	LRG_195	0.392695549	0.392695549	0.392695549
17-AAG	ENSG00000122642	0.392043801	0.392043801	-0.392043801
17-AAG	ENSG00000166033	0.391785088	0.391785088	-0.391785088
17-AAG	ENSG00000280618	0.3913009	0.3913009	-0.3913009
17-AAG	ENSG00000136826	0.390369421	0.390369421	-0.390369421
17-AAG	ENSG00000120738	0.390088611	0.390088611	-0.390088611
17-AAG	ENSG00000197702	0.386986742	0.386986742	-0.386986742
17-AAG	ENSG00000128342	0.386372059	0.386372059	-0.386372059
17-AAG	ENSG00000197747	0.385929197	0.385929197	-0.385929197
17-AAG	LRG_193	0.385846858	0.385846858	-0.385846858
17-AAG	ENSG00000117984	0.385282399	0.385282399	-0.385282399
17-AAG	ENSG00000118508	0.384769425	0.384769425	-0.384769425
17-AAG	ENSG00000089876	0.384552311	0.384552311	-0.384552311
17-AAG	ENSG00000102024	0.3843785	0.3843785	-0.3843785
17-AAG	ENSG00000135047	0.383806451	0.383806451	-0.383806451
17-AAG	ENSG00000167601	0.383599916	0.383599916	-0.383599916
17-AAG	ENSG00000167779	0.38351925	0.38351925	-0.38351925
17-AAG	ENSG00000115963	0.383237079	0.383237079	-0.383237079
