Diffusion Matrix Compare		Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score	Percent appearing in restart set
ENSG00000181019	TRUE	17-AAG	ENSG00000181019	0.007454556	1	-0.597625441	1
ENSG00000150093	TRUE	17-AAG	ENSG00000150093	0.006808514	0.948891092	-0.388464157	1
ENSG00000164733	TRUE	17-AAG	ENSG00000164733	0.006779781	0.94661802	-0.460777423	1
ENSG00000005884	TRUE	17-AAG	ENSG00000005884	0.006456715	0.921060001	-0.412410503	1
ENSG00000166033	TRUE	17-AAG	ENSG00000166033	0.006096343	0.892550762	-0.392617998	1
ENSG00000163191	TRUE	17-AAG	ENSG00000163191	0.005951495	0.881091681	-0.471271061	1
ENSG00000135404	TRUE	17-AAG	ENSG00000135404	0.005911305	0.877912205	-0.441474632	1
ENSG00000091409	TRUE	17-AAG	ENSG00000091409	0.005898376	0.876889377	-0.378420752	1
ENSG00000177697	TRUE	17-AAG	ENSG00000177697	0.005837204	0.87205004	-0.43780989	1
ENSG00000161011	TRUE	17-AAG	ENSG00000161011	0.005790198	0.868331339	-0.441394328	1
ENSG00000182718	TRUE	17-AAG	ENSG00000182718	0.005758701	0.865839587	-0.421027873	1
ENSG00000135047	TRUE	17-AAG	ENSG00000135047	0.00571584	0.862448812	-0.405701328	1
ENSG00000131724	TRUE	17-AAG	ENSG00000131724	0.00570839	0.861859489	-0.445767858	1
ENSG00000131981	TRUE	17-AAG	ENSG00000131981	0.00568002	0.859615101	-0.450776571	1
ENSG00000134531	TRUE	17-AAG	ENSG00000134531	0.005644868	0.856834169	-0.441127907	1
ENSG00000168615	TRUE	17-AAG	ENSG00000168615	0.00563276	0.855876331	-0.429132034	1
ENSG00000101439	TRUE	17-AAG	ENSG00000101439	0.005609231	0.85401493	-0.432284469	1
ENSG00000197956	TRUE	17-AAG	ENSG00000197956	0.005586102	0.852185189	-0.443751464	1
ENSG00000006327	TRUE	17-AAG	ENSG00000006327	0.005578128	0.851554358	-0.448213268	1
ENSG00000135046	TRUE	17-AAG	ENSG00000135046	0.005570184	0.850925856	-0.418495774	1
ENSG00000102265	TRUE	17-AAG	ENSG00000102265	0.00555484	0.84971202	-0.416334031	1
ENSG00000018408	TRUE	17-AAG	ENSG00000018408	0.005536054	0.848225825	-0.444769158	1
ENSG00000124942	TRUE	17-AAG	ENSG00000124942	0.005521073	0.847040659	-0.436531738	1
ENSG00000172380	TRUE	17-AAG	ENSG00000172380	0.005504911	0.845762116	-0.443064722	1
ENSG00000010278	TRUE	17-AAG	ENSG00000010278	0.005496994	0.845135809	-0.362308304	1
ENSG00000197461	TRUE	17-AAG	ENSG00000197461	0.005474857	0.843384494	-0.437323578	1
ENSG00000117984	TRUE	17-AAG	ENSG00000117984	0.00546688	0.842753399	-0.386866739	1
ENSG00000138448	FALSE	17-AAG	ENSG00000082781	0.005388581	0.83655912	-0.40559359	1
ENSG00000082781	FALSE	17-AAG	ENSG00000138448	0.00538725	0.836453842	-0.396336046	1
ENSG00000137693	TRUE	17-AAG	ENSG00000137693	0.005380533	0.835922452	-0.431955027	1
ENSG00000100196	TRUE	17-AAG	ENSG00000100196	0.005344947	0.833107206	-0.430936471	1
ENSG00000139289	FALSE	17-AAG	ENSG00000197702	0.005335178	0.83233436	-0.38374731	1
ENSG00000197702	FALSE	17-AAG	ENSG00000139289	0.005333568	0.832207061	-0.428973548	1
ENSG00000124145	TRUE	17-AAG	ENSG00000124145	0.005284249	0.828305366	-0.424346188	1
ENSG00000189171	TRUE	17-AAG	ENSG00000189171	0.005260807	0.826450859	-0.41979132	1
ENSG00000214063	TRUE	17-AAG	ENSG00000214063	0.005226906	0.823768898	-0.38686246	1
ENSG00000157227	TRUE	17-AAG	ENSG00000157227	0.005225197	0.823633684	-0.392984532	1
ENSG00000197747	TRUE	17-AAG	ENSG00000197747	0.005217099	0.822993054	-0.39180832	1
ENSG00000007384	TRUE	17-AAG	ENSG00000007384	0.005206771	0.822176045	-0.418944906	1
ENSG00000049860	TRUE	17-AAG	ENSG00000049860	0.005204513	0.82199735	-0.417029357	1
ENSG00000124570	TRUE	17-AAG	ENSG00000124570	0.005183166	0.820308612	-0.412275928	1
ENSG00000075643	TRUE	17-AAG	ENSG00000075643	0.005180944	0.820132828	-0.412686291	1
ENSG00000196754	TRUE	17-AAG	ENSG00000196754	0.005163518	0.818754242	-0.413758575	1
ENSG00000177469	TRUE	17-AAG	ENSG00000177469	0.005139638	0.81686509	-0.412386425	1
ENSG00000128342	TRUE	17-AAG	ENSG00000128342	0.005131725	0.816239073	-0.405507471	1
ENSG00000072110	FALSE	17-AAG	ENSG00000198363	0.005121312	0.815415286	-0.41241692	1
ENSG00000198363	FALSE	17-AAG	ENSG00000072110	0.005120856	0.815379212	-0.398143837	1
ENSG00000105854	TRUE	17-AAG	ENSG00000105854	0.005109339	0.814468128	-0.411194937	1
ENSG00000175592	TRUE	17-AAG	ENSG00000175592	0.005105838	0.814191106	-0.41303856	1
ENSG00000172037	TRUE	17-AAG	ENSG00000172037	0.005072111	0.811522965	-0.406471946	1
ENSG00000162909	TRUE	17-AAG	ENSG00000162909	0.005057396	0.810358857	-0.408984619	1
ENSG00000197324	TRUE	17-AAG	ENSG00000197324	0.005000205	0.805834461	-0.397301007	1
ENSG00000119986	TRUE	17-AAG	ENSG00000119986	0.004977659	0.804050803	-0.400726594	1
ENSG00000121104	TRUE	17-AAG	ENSG00000121104	0.004970379	0.803474882	0.400769505	1
ENSG00000169908	TRUE	17-AAG	ENSG00000169908	0.00493032	0.800305811	-0.395616516	1
ENSG00000135862	TRUE	17-AAG	ENSG00000135862	0.004922407	0.799679808	-0.388257349	1
ENSG00000101445	TRUE	17-AAG	ENSG00000101445	0.004921617	0.799617239	0.395919569	1
ENSG00000024422	TRUE	17-AAG	ENSG00000024422	0.004913729	0.798993279	-0.395934706	1
ENSG00000150687	TRUE	17-AAG	ENSG00000150687	0.004905149	0.798314508	-0.395443469	1
ENSG00000142627	TRUE	17-AAG	ENSG00000142627	0.00490016	0.797919791	-0.371841151	1
ENSG00000145632	TRUE	17-AAG	ENSG00000145632	0.004869947	0.795529651	-0.394280235	1
ENSG00000117713	TRUE	17-AAG	ENSG00000117713	0.004852736	0.794168077	0.391182574	1
ENSG00000162521	TRUE	17-AAG	ENSG00000162521	0.004828941	0.792285604	0.393291871	1
ENSG00000118508	TRUE	17-AAG	ENSG00000118508	0.004821726	0.791714794	-0.388481028	1
ENSG00000183696	TRUE	17-AAG	ENSG00000183696	0.004788585	0.789092996	-0.38352745	1
ENSG00000122642	TRUE	17-AAG	ENSG00000122642	0.00477473	0.78799692	-0.383223062	1
ENSG00000102024	TRUE	17-AAG	ENSG00000102024	0.004764103	0.787156216	-0.382532723	1
ENSG00000118513	TRUE	17-AAG	ENSG00000118513	0.004749021	0.7859631	0.386799778	1
ENSG00000168421	TRUE	17-AAG	ENSG00000168421	0.004747921	0.785876034	0.377940283	1
ENSG00000150760	TRUE	17-AAG	ENSG00000150760	0.004744325	0.785591585	-0.381609584	1
ENSG00000143545	TRUE	17-AAG	ENSG00000143545	0.00474058	0.785295269	-0.380267164	1
ENSG00000120708	TRUE	17-AAG	ENSG00000120708	0.004736285	0.784955483	-0.379361381	1
ENSG00000136826	TRUE	17-AAG	ENSG00000136826	0.004731064	0.784542472	-0.378761867	1
ENSG00000127947	TRUE	17-AAG	ENSG00000127947	0.004728861	0.784368233	-0.374734686	1
