	net_correlation
ENSG00000170373	0.23025419096849306
ENSG00000108798	0.21893863185549967
ENSG00000154175	0.21218840197185945
ENSG00000139146	0.20405975825751058
ENSG00000170293	0.20149673268770973
ENSG00000171431	0.1973120827456955
ENSG00000136698	0.19584600406518793
ENSG00000100373	0.19130653717044116
ENSG00000188620	0.1906150238025524
ENSG00000175766	0.18162307628291266
ENSG00000118407	0.18034590510223591
ENSG00000015413	0.17694661394916875
ENSG00000118705	0.1760805952147614
ENSG00000125898	0.17571468252503591
ENSG00000033030	0.17395389081379464
ENSG00000174460	0.17363376702347746
ENSG00000103375	0.17208464970138285
ENSG00000152464	0.17175251230772542
ENSG00000104218	0.17059449070117472
ENSG00000282210	0.17000959549519978
ENSG00000147262	0.16832407848116585
ENSG00000243009	0.16699179647055262
ENSG00000144736	0.16645622902546583
ENSG00000137960	0.1657207099440154
ENSG00000080603	0.16309179911942223
ENSG00000204188	0.16185589143054832
ENSG00000156313	0.16023906002116
ENSG00000170369	0.1601623912691829
ENSG00000114113	0.1593268386961018
ENSG00000277339	0.15930831073885413
ENSG00000230907	0.15794553033158654
ENSG00000043355	0.15707976844603744
ENSG00000167208	0.15638016170537322
ENSG00000166452	0.15588672502586765
ENSG00000277092	0.15478899826660358
ENSG00000179855	0.1538665195980687
ENSG00000125351	0.1536093748208826
ENSG00000171772	0.15353566192275253
ENSG00000110375	0.15328115752288207
ENSG00000062650	0.15324463946892924
ENSG00000154889	0.15209974561634612
ENSG00000187474	0.15160055280681814
ENSG00000138109	0.15129115996367
ENSG00000135437	0.1511679031654094
ENSG00000240857	0.1511679031654094
ENSG00000157326	0.1511679031654094
ENSG00000005421	0.1502704631869397
ENSG00000134910	0.1501838247969496
ENSG00000132963	0.14979279020255334
ENSG00000184731	0.14977375185344413
ENSG00000138698	0.14974162667096896
ENSG00000071203	0.14965895988777414
ENSG00000119927	0.1495746450171069
ENSG00000203722	0.14928761651241096
ENSG00000136842	0.14877741501514094
ENSG00000172340	0.14876803658730164
ENSG00000029725	0.14848933697400393
ENSG00000171566	0.14832688707936587
ENSG00000101441	0.14802712891879852
ENSG00000134716	0.1478590008856955
ENSG00000116726	0.14745608963211682
ENSG00000198961	0.14696222841227496
ENSG00000182179	0.14688689839536873
ENSG00000134697	0.14680398521790322
ENSG00000198205	0.14647206468978327
ENSG00000144852	0.1456914664582905
ENSG00000204130	0.14554625471658011
ENSG00000138472	0.14532328845555942
ENSG00000163684	0.14475168110095207
ENSG00000103351	0.14462292103528893
ENSG00000139726	0.14392369300643584
ENSG00000186115	0.14365540865133053
ENSG00000134324	0.1434514441733129
ENSG00000153551	0.14314957907975367
ENSG00000172500	0.14312918741833972
ENSG00000129422	0.14311688700916378
ENSG00000112893	0.1430509766364139
ENSG00000094975	0.14304837036850077
ENSG00000129116	0.1428017481087967
ENSG00000182901	0.14279068583927762
ENSG00000163611	0.1417445445472125
ENSG00000112559	0.14154829762060878
ENSG00000120498	0.14154737011799579
ENSG00000174721	0.1414610215399107
ENSG00000135776	0.14119565132158907
ENSG00000232119	0.14097816670932112
ENSG00000198399	0.14085430429129026
ENSG00000143858	0.14049986330090114
ENSG00000104356	0.13989145614233617
ENSG00000175115	0.13944925323227592
ENSG00000141076	0.13902420814067548
ENSG00000035403	0.1390050336540879
ENSG00000115252	0.1387730935076733
ENSG00000113722	0.13864886741577298
ENSG00000122678	0.1386163011886349
ENSG00000149294	0.13846379591873087
ENSG00000006025	0.13823914823345781
ENSG00000113441	0.13737693897123118
ENSG00000135604	0.1371813382953264
ENSG00000137507	0.13714582995458915
ENSG00000176014	0.13709059957912423
ENSG00000011021	0.13676580276496514
ENSG00000167207	0.136614121733096
ENSG00000075415	0.1365491440665757
ENSG00000147642	0.13626109600039232
ENSG00000125877	0.13605596550905102
ENSG00000148942	0.13599958071770307
ENSG00000178718	0.135202164506329
ENSG00000105668	0.13501403448388766
ENSG00000163312	0.13491319594537987
ENSG00000177239	0.13459470225535639
ENSG00000125813	0.1343754422382902
ENSG00000197409	0.13396406934156552
ENSG00000102837	0.13393919564526138
ENSG00000167272	0.13371957540395646
ENSG00000144744	0.13369539162431304
ENSG00000166197	0.13351588237129633
ENSG00000129910	0.13348391537473397
ENSG00000167780	0.13344320481303976
ENSG00000165841	0.1327577169084776
ENSG00000152503	0.13262767860639654
ENSG00000139133	0.1325283218178637
ENSG00000130303	0.13246530530569794
ENSG00000154743	0.13233316512696985
ENSG00000183196	0.13219940282727155
ENSG00000123411	0.132157623282316
ENSG00000007372	0.1318965375111409
ENSG00000140943	0.1317484773668626
ENSG00000183779	0.13151210788187087
ENSG00000197498	0.1313159496440261
ENSG00000164941	0.13128446767917024
ENSG00000164442	0.1306888162630049
ENSG00000148965	0.13066308217688116
ENSG00000136104	0.13035017192547224
ENSG00000027001	0.13023585778041172
ENSG00000198914	0.13001691490793474
ENSG00000101438	0.1299296334088037
ENSG00000104371	0.1298090592384783
ENSG00000102699	0.12955772397050963
ENSG00000165092	0.12929326056386847
ENSG00000125454	0.12921984442707643
ENSG00000124383	0.12918601712286684
ENSG00000163634	0.12910497237949908
ENSG00000228405	0.12892736267191535
ENSG00000133030	0.12889421658891034
ENSG00000169871	0.12842093993502926
ENSG00000168131	0.1284026520007686
ENSG00000165323	0.12837625465696678
ENSG00000265203	0.12836090194384062
ENSG00000105143	0.12825924874449207
ENSG00000157103	0.12823096384803834
ENSG00000197496	0.12796013747155013
ENSG00000214042	0.1276263410756029
ENSG00000102743	0.12749233782006172
ENSG00000120694	0.12733486670522487
ENSG00000158092	0.12731998248277904
ENSG00000107937	0.1270853452009183
ENSG00000162460	0.1269343766545122
ENSG00000164932	0.12675048368357983
ENSG00000165527	0.12669307628118157
ENSG00000165516	0.12657831654164817
ENSG00000183734	0.12653773188892428
ENSG00000177731	0.1265331197915494
ENSG00000179168	0.1265328785924288
ENSG00000187840	0.12641606648320353
ENSG00000278466	0.12608962384343897
ENSG00000173674	0.1258872121194829
ENSG00000108839	0.12584132200672749
ENSG00000140057	0.12579353523629105
ENSG00000121207	0.12576913008615648
ENSG00000214960	0.1254127256876772
ENSG00000129636	0.12540071893399138
ENSG00000165556	0.12532629808897192
ENSG00000186654	0.1253143079539293
ENSG00000146049	0.12525604933852297
ENSG00000167286	0.12499023052974786
ENSG00000113282	0.1249312774130861
ENSG00000087253	0.12486230012558766
ENSG00000138606	0.12473465522598386
ENSG00000168610	0.12445577301552316
ENSG00000164684	0.12443614792352298
ENSG00000164219	0.12430595229080654
ENSG00000152413	0.1242846685729964
ENSG00000164023	0.12427877787408645
ENSG00000166747	0.12392952730493881
ENSG00000108830	0.1239273873079724
ENSG00000084234	0.12361942741145857
ENSG00000273703	0.12301652155997907
ENSG00000089692	0.12275483986757103
ENSG00000198471	0.12262086062834379
ENSG00000084652	0.12260611831488595
ENSG00000136541	0.12248062391200239
