Response	Gene ENSEMBL ID
AEW541	ENSG00000148841
AEW541	ENSG00000160688
AEW541	ENSG00000197467
AEW541	ENSG00000151474
AEW541	LOC100507217
AEW541	ENSG00000106991
AEW541	ENSG00000033867
AEW541	ENSG00000125148
AEW541	LOC100507389
AEW541	ENSG00000089327
AEW541	ENSG00000059145
AEW541	ENSG00000224165
AEW541	ENSG00000159388
AEW541	ENSG00000049192
AEW541	ENSG00000008441
AEW541	ENSG00000131236
AEW541	ENSG00000169641
AEW541	ENSG00000133134
AEW541	ENSG00000075790
AEW541	ENSG00000247596
AEW541	ENSG00000101955
AEW541	ENSG00000147180
AEW541	ENSG00000164116
AEW541	ENSG00000157510
AEW541	ENSG00000120333
AEW541	ENSG00000196418
AEW541	ENSG00000080823
AEW541	ENSG00000163125
AEW541	LOC100507433
AEW541	ENSG00000116525
AEW541	ENSG00000144136
AEW541	ENSG00000134686
AEW541	LOC100130938
AEW541	ENSG00000275575
AEW541	ENSG00000102891
AEW541	ENSG00000116539
AEW541	ENSG00000165233
AEW541	ENSG00000036448
AEW541	ENSG00000249992
AEW541	ENSG00000206449
AEW541	ENSG00000163344
AEW541	ENSG00000005448
AEW541	ENSG00000162241
AEW541	ENSG00000157227
AEW541	ENSG00000214063
AEW541	ENSG00000143207
AEW541	ENSG00000152382
AEW541	KIAA0182
AEW541	ENSG00000185267
AEW541	ENSG00000163171
AEW541	LRG_179
AEW541	ENSG00000143612
AEW541	ENSG00000166289
AEW541	ENSG00000132676
AEW541	ENSG00000137831
AEW541	ENSG00000116748
AEW541	ENSG00000171574
AEW541	ENSG00000187323
AEW541	ENSG00000108828
AEW541	ENSG00000166377
AEW541	ENSG00000140682
AEW541	ENSG00000167601
AEW541	ENSG00000183605
AEW541	C15orf17
AEW541	LOC100130855
AEW541	ENSG00000042753
AEW541	ENSG00000011422
AEW541	ENSG00000026508
AEW541	ENSG00000121057
AEW541	ENSG00000188549
AEW541	ENSG00000074416
AEW541	FLJ13197
AEW541	ENSG00000076706
AEW541	ENSG00000084636
AEW541	ENSG00000086102
AEW541	ENSG00000145555
AEW541	ENSG00000118873
AEW541	ENSG00000163374
AEW541	ENSG00000103342
AEW541	ENSG00000148985
AEW541	ENSG00000143553
AEW541	ENSG00000185340
AEW541	ENSG00000143294
AEW541	ENSG00000125779
AEW541	ENSG00000155792
AEW541	ENSG00000116863
AEW541	ENSG00000116141
AEW541	ENSG00000182768
AEW541	ENSG00000160714
AEW541	TENC1
AEW541	C11orf41
AEW541	ENSG00000122641
AEW541	ENSG00000171867
AEW541	ENSG00000163820
AEW541	ENSG00000170417
AEW541	ENSG00000124429
AEW541	ENSG00000213005
AEW541	ENSG00000158850
AEW541	ENSG00000137880
AEW541	ENSG00000116668
AEW541	ENSG00000064218
AEW541	ENSG00000188295
AEW541	ENSG00000104518
AEW541	LRG_350
AEW541	LRG_191
AEW541	ENSG00000165494
AEW541	ENSG00000198542
AEW541	ENSG00000110075
AEW541	ENSG00000161610
AEW541	ENSG00000183066
AEW541	ENSG00000143420
AEW541	ENSG00000163633
AEW541	ENSG00000135931
AEW541	ENSG00000183386
AEW541	ENSG00000078177
AEW541	ENSG00000114316
AEW541	ENSG00000124570
AEW541	C6orf108
AEW541	ENSG00000107262
AEW541	ENSG00000146216
AEW541	ENSG00000198959
AEW541	ENSG00000137936
AEW541	LOC100506847
AEW541	ENSG00000110066
AEW541	ENSG00000137198
AEW541	ENSG00000164294
AEW541	ENSG00000166847
AEW541	ENSG00000041982
AEW541	ENSG00000215271
AEW541	CXorf69
AEW541	ENSG00000158985
AEW541	ENSG00000143157
AEW541	ENSG00000161638
AEW541	FAM70B
AEW541	ENSG00000121058
AEW541	ENSG00000159167
AEW541	ENSG00000186260
AEW541	ENSG00000196387
AEW541	ENSG00000185201
AEW541	LOC100507501
AEW541	ENSG00000156515
AEW541	ENSG00000176170
AEW541	ENSG00000134709
AEW541	ENSG00000137968
AEW541	ENSG00000157181
AEW541	ENSG00000205981
AEW541	ENSG00000060709
AEW541	ENSG00000000457
AEW541	ENSG00000163661
AEW541	ENSG00000143258
AEW541	ENSG00000066322
AEW541	ENSG00000090686
AEW541	ENSG00000139668
AEW541	ENSG00000083093
AEW541	LRG_202
AEW541	ENSG00000080371
AEW541	ENSG00000187605
AEW541	ENSG00000160710
AEW541	ENSG00000097021
AEW541	ENSG00000173706
AEW541	ENSG00000239305
AEW541	ENSG00000101236
AEW541	C21orf7
AEW541	ENSG00000180879
AEW541	ENSG00000117153
AEW541	ENSG00000134363
AEW541	ENSG00000135723
AEW541	ENSG00000164611
AEW541	ENSG00000104368
AEW541	LOC100134259
AEW541	ENSG00000175592
AEW541	ENSG00000136830
AEW541	ENSG00000170836
AEW541	ENSG00000117362
AEW541	ENSG00000100219
AEW541	ENSG00000186283
AEW541	ENSG00000143543
AEW541	ENSG00000143184
AEW541	ENSG00000127920
AEW541	ENSG00000033627
AEW541	ENSG00000084623
AEW541	ENSG00000135870
AEW541	ENSG00000018408
AEW541	LRG_621
AEW541	ENSG00000141469
AEW541	ENSG00000100097
AEW541	ENSG00000058600
AEW541	ENSG00000170485
AEW541	ENSG00000169116
AEW541	ENSG00000056736
AEW541	ENSG00000166716
AEW541	ENSG00000134250
AEW541	ENSG00000163159
AEW541	ENSG00000197329
AEW541	ENSG00000197256
AEW541	ENSG00000136244
AEW541	ENSG00000128284
AEW541	ENSG00000113924
AEW541	ENSG00000166562
AEW541	LEPREL2
AEW541	ENSG00000196116
AEW541	ENSG00000124256
AEW541	ENSG00000111490
AEW541	ENSG00000142669
AEW541	ENSG00000159840
AEW541	ENSG00000138735
AEW541	ENSG00000189298
AEW541	ENSG00000141642
AEW541	ENSG00000117395
AEW541	ENSG00000110888
AEW541	ENSG00000143479
AEW541	KIAA1530
AEW541	ENSG00000143768
AEW541	ENSG00000130813
AEW541	ENSG00000145354
AEW541	ENSG00000171488
AEW541	ENSG00000134954
AEW541	ENSG00000122507
AEW541	ENSG00000120318
AEW541	ENSG00000127831
AEW541	ENSG00000118217
AEW541	ENSG00000158201
AEW541	ENSG00000143324
AEW541	ENSG00000091136
AEW541	ENSG00000136854
AEW541	ENSG00000101000
AEW541	ENSG00000167476
AEW541	ENSG00000150527
AEW541	ENSG00000147010
AEW541	ENSG00000250254
AEW541	ENSG00000178562
AEW541	ENSG00000152926
AEW541	ENSG00000136158
AEW541	ENSG00000143379
AEW541	LOC100505854
AEW541	ENSG00000138356
AEW541	ENSG00000167654
AEW541	ENSG00000186230
AEW541	ENSG00000186812
AEW541	ENSG00000228315
AEW541	ENSG00000185477
AEW541	ENSG00000162769
AEW541	ENSG00000082458
