Response	Gene ENSEMBL ID
AZD6244	ENSG00000203880
AZD6244	ENSG00000101191
AZD6244	ENSG00000149084
AZD6244	ENSG00000101040
AZD6244	ENSG00000100711
AZD6244	ENSG00000023516
AZD6244	ENSG00000122304
AZD6244	ENSG00000188064
AZD6244	ENSG00000061455
AZD6244	ENSG00000148634
AZD6244	ENSG00000196199
AZD6244	ENSG00000172586
AZD6244	ENSG00000178385
AZD6244	ENSG00000176788
AZD6244	ENSG00000180340
AZD6244	ENSG00000019186
AZD6244	ENSG00000100354
AZD6244	ENSG00000198964
AZD6244	ENSG00000231672
AZD6244	ENSG00000124222
AZD6244	LOC647979
AZD6244	ENSG00000186567
AZD6244	ENSG00000142871
AZD6244	ENSG00000104881
AZD6244	ENSG00000138439
AZD6244	ENSG00000198682
AZD6244	ENSG00000075240
AZD6244	ENSG00000198954
AZD6244	ENSG00000074211
AZD6244	ENSG00000167258
AZD6244	ENSG00000154122
AZD6244	LRG_89
AZD6244	LOC100507008
AZD6244	ENSG00000121289
AZD6244	LOC729799
AZD6244	ENSG00000109089
AZD6244	ENSG00000084090
AZD6244	ENSG00000120896
AZD6244	ENSG00000120129
AZD6244	ENSG00000123240
AZD6244	ENSG00000069869
AZD6244	ENSG00000103150
AZD6244	MLL3
AZD6244	ENSG00000153201
AZD6244	ENSG00000104611
AZD6244	ENSG00000090013
AZD6244	ENSG00000176542
AZD6244	ENSG00000138175
AZD6244	ENSG00000157168
AZD6244	ENSG00000256053
AZD6244	ENSG00000101126
AZD6244	ENSG00000203995
AZD6244	ENSG00000143970
AZD6244	ENSG00000183287
AZD6244	ENSG00000066629
AZD6244	ENSG00000138279
AZD6244	ENSG00000189410
AZD6244	ENSG00000166199
AZD6244	ENSG00000137075
AZD6244	ENSG00000138166
AZD6244	ENSG00000188033
AZD6244	ENSG00000081041
AZD6244	ENSG00000143771
AZD6244	ENSG00000144161
AZD6244	ENSG00000186603
AZD6244	ENSG00000126458
AZD6244	ENSG00000070778
AZD6244	ENSG00000135392
AZD6244	ENSG00000126787
AZD6244	ENSG00000150630
AZD6244	ENSG00000186687
AZD6244	ENSG00000149474
AZD6244	MNF1
AZD6244	ENSG00000180914
AZD6244	ENSG00000165887
AZD6244	ENSG00000135480
AZD6244	ENSG00000175287
AZD6244	ENSG00000090447
AZD6244	ENSG00000074527
AZD6244	ENSG00000163399
AZD6244	ENSG00000169490
AZD6244	ENSG00000113805
AZD6244	ENSG00000135999
AZD6244	ENSG00000108821
AZD6244	LOC100288911
AZD6244	ENSG00000186469
AZD6244	ENSG00000136244
AZD6244	ENSG00000092758
AZD6244	ENSG00000122861
AZD6244	ENSG00000125870
AZD6244	ENSG00000178919
AZD6244	ENSG00000117525
AZD6244	ENSG00000166250
AZD6244	LOC100505562
AZD6244	ENSG00000172164
AZD6244	ENSG00000166783
AZD6244	ENSG00000153923
AZD6244	ENSG00000180263
AZD6244	ENSG00000114503
AZD6244	ENSG00000133937
AZD6244	ENSG00000180611
AZD6244	ENSG00000162065
AZD6244	ENSG00000165046
AZD6244	ENSG00000119138
AZD6244	ENSG00000073849
AZD6244	ENSG00000055813
AZD6244	ENSG00000225362
AZD6244	ENSG00000100532
AZD6244	ENSG00000130749
AZD6244	ENSG00000125630
AZD6244	ENSG00000110060
AZD6244	ENSG00000139985
AZD6244	ENSG00000059588
AZD6244	ENSG00000163734
AZD6244	ENSG00000107745
AZD6244	ENSG00000101695
AZD6244	ENSG00000148935
AZD6244	ENSG00000185215
AZD6244	ENSG00000122873
AZD6244	ENSG00000105355
AZD6244	ENSG00000135517
AZD6244	ENSG00000004534
AZD6244	ENSG00000280987
AZD6244	ENSG00000110497
AZD6244	ENSG00000143367
AZD6244	ENSG00000101343
AZD6244	ENSG00000225383
AZD6244	ENSG00000078401
AZD6244	ENSG00000081665
AZD6244	ENSG00000114062
AZD6244	ENSG00000154277
AZD6244	ENSG00000101413
AZD6244	ENSG00000170890
AZD6244	LOC729570
AZD6244	ENSG00000256061
AZD6244	ENSG00000161243
AZD6244	KIAA1530
AZD6244	ENSG00000154040
AZD6244	ENSG00000182195
AZD6244	ENSG00000177485
AZD6244	ENSG00000147679
AZD6244	LRG_461
AZD6244	ENSG00000100865
AZD6244	ENSG00000153558
AZD6244	ENSG00000196968
AZD6244	ENSG00000111404
AZD6244	ENSG00000154930
AZD6244	ENSG00000023608
AZD6244	ENSG00000091039
AZD6244	ENSG00000185112
AZD6244	ENSG00000154319
AZD6244	ENSG00000115008
AZD6244	ENSG00000147256
AZD6244	ENSG00000168152
AZD6244	ENSG00000205155
AZD6244	ENSG00000147896
AZD6244	ENSG00000185347
AZD6244	ENSG00000106261
AZD6244	ENSG00000280529
AZD6244	ENSG00000197019
AZD6244	ENSG00000156110
AZD6244	ENSG00000162601
AZD6244	ENSG00000115020
AZD6244	ENSG00000183161
AZD6244	ENSG00000099246
AZD6244	ENSG00000154174
AZD6244	ENSG00000035403
AZD6244	ENSG00000101407
AZD6244	ENSG00000079462
AZD6244	ENSG00000147394
AZD6244	ENSG00000175727
AZD6244	LOC100506668
AZD6244	ENSG00000121741
AZD6244	ENSG00000115919
AZD6244	ENSG00000120071
AZD6244	ENSG00000113645
AZD6244	ENSG00000164136
AZD6244	ENSG00000175155
AZD6244	ENSG00000197646
AZD6244	ENSG00000180992
AZD6244	ENSG00000170915
AZD6244	ENSG00000243137
AZD6244	ENSG00000253958
AZD6244	ENSG00000067057
AZD6244	LOC283404
AZD6244	ENSG00000167157
AZD6244	ENSG00000149658
AZD6244	ENSG00000269955
AZD6244	ENSG00000205078
AZD6244	ENSG00000121057
AZD6244	ENSG00000111817
AZD6244	ENSG00000112144
AZD6244	ENSG00000178033
AZD6244	ENSG00000070476
AZD6244	ENSG00000135473
AZD6244	ENSG00000211448
AZD6244	ENSG00000013441
AZD6244	ENSG00000205426
AZD6244	ENSG00000114573
AZD6244	ENSG00000185689
AZD6244	LOC100292680
AZD6244	ENSG00000148660
AZD6244	ENSG00000163545
AZD6244	ENSG00000022556
AZD6244	ENSG00000149150
AZD6244	ENSG00000126778
AZD6244	ENSG00000197323
AZD6244	ENSG00000147119
AZD6244	ENSG00000160908
AZD6244	ENSG00000275723
AZD6244	ENSG00000119446
AZD6244	DKFZp451B082
AZD6244	LRG_135
AZD6244	ENSG00000156026
AZD6244	ENSG00000116212
AZD6244	ENSG00000099860
AZD6244	GLT25D2
AZD6244	ENSG00000073712
AZD6244	ENSG00000163430
AZD6244	ENSG00000139132
AZD6244	ENSG00000163428
AZD6244	ENSG00000189159
AZD6244	ENSG00000155287
AZD6244	ENSG00000157106
AZD6244	ENSG00000231225
AZD6244	ENSG00000172046
AZD6244	LOC100506473
AZD6244	ENSG00000092841
AZD6244	LOC286149
AZD6244	ENSG00000152520
AZD6244	ENSG00000214313
AZD6244	ENSG00000063587
AZD6244	ENSG00000151576
AZD6244	ENSG00000089123
AZD6244	ENSG00000147133
AZD6244	ENSG00000132801
AZD6244	ENSG00000146242
AZD6244	ENSG00000172115
AZD6244	ENSG00000239282
AZD6244	ENSG00000153832
AZD6244	ENSG00000105185
AZD6244	ENSG00000136878
AZD6244	ENSG00000138107
AZD6244	ENSG00000184863
AZD6244	ENSG00000169087
AZD6244	ENSG00000187720
AZD6244	ENSG00000180011
AZD6244	ENSG00000081189
AZD6244	ENSG00000136141
AZD6244	ENSG00000164112
AZD6244	ENSG00000120685
AZD6244	ZNF498
AZD6244	ENSG00000122641
AZD6244	ENSG00000138180
AZD6244	ENSG00000004139
AZD6244	ENSG00000064300
AZD6244	ENSG00000114019
AZD6244	ENSG00000103642
AZD6244	ENSG00000023909
AZD6244	ENSG00000074590
AZD6244	LOC100506651
AZD6244	ENSG00000180336
AZD6244	ENSG00000165084
AZD6244	ENSG00000158125
AZD6244	ENSG00000164434
AZD6244	ENSG00000177731
AZD6244	ENSG00000091986
AZD6244	ENSG00000184402
AZD6244	KIAA1609
AZD6244	ENSG00000137558
AZD6244	ENSG00000136100
AZD6244	ENSG00000163013
AZD6244	ENSG00000120054
AZD6244	LINC00085
AZD6244	ENSG00000125814
AZD6244	ENSG00000198646
AZD6244	ENSG00000274829
AZD6244	ENSG00000129474
AZD6244	ENSG00000180998
AZD6244	ENSG00000144837
AZD6244	ENSG00000146834
AZD6244	ENSG00000124357
AZD6244	ENSG00000069399
AZD6244	ENSG00000006712
AZD6244	ENSG00000176697
AZD6244	ENSG00000147364
AZD6244	ENSG00000144843
AZD6244	ENSG00000274672
AZD6244	ENSG00000073008
AZD6244	ENSG00000131368
AZD6244	ENSG00000131094
AZD6244	ENSG00000132953
AZD6244	ENSG00000163050
AZD6244	ENSG00000068784
AZD6244	ENSG00000079332
AZD6244	ENSG00000021300
AZD6244	ENSG00000179981
AZD6244	ENSG00000072401
AZD6244	ENSG00000160886
AZD6244	ENSG00000145439
AZD6244	ENSG00000144597
AZD6244	ENSG00000168264
AZD6244	ENSG00000185666
AZD6244	ENSG00000136161
AZD6244	ENSG00000124193
AZD6244	ENSG00000131966
AZD6244	ENSG00000077150
AZD6244	ENSG00000152467
AZD6244	LOC100507278
AZD6244	ENSG00000179698
AZD6244	ENSG00000122958
AZD6244	ENSG00000171224
AZD6244	ENSG00000122870
AZD6244	ENSG00000117691
AZD6244	ENSG00000164400
