Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score
Erlotinib	ENSG00000026025	18874.0	0.4105984150366073	0.41266193626976194
Erlotinib	ENSG00000189334	18871.4	0.37090289029003204	-0.3756096306244588
Erlotinib	ENSG00000125850	18871.2	0.37324259133618704	-0.3715308371062299
Erlotinib	ENSG00000132698	18870.0	0.3679832762898726	-0.3673445073243334
Erlotinib	ENSG00000182795	18867.6	0.3608542878984345	-0.35697746469229524
Erlotinib	ENSG00000139835	18865.8	0.3585312893719921	-0.3661822265706237
Erlotinib	LRG_301	18865.8	0.3562994356046714	-0.35716296127569575
Erlotinib	ENSG00000140832	18863.0	0.3514187834964218	-0.3518884171345523
Erlotinib	ENSG00000111450	18859.2	0.34409560544228157	0.3485751390312423
Erlotinib	ENSG00000083307	18859.2	0.3455455078592277	-0.34610882598323844
Erlotinib	ENSG00000135525	18858.2	0.34476421614054525	-0.3463248983620911
Erlotinib	LRG_621	18858.0	0.35408972436978947	0.3467331516185512
Erlotinib	LRG_400	18856.4	0.34069298790180297	-0.3395303252084404
Erlotinib	ENSG00000065618	18856.4	0.34339850657348125	-0.33657014974449145
Erlotinib	ENSG00000014216	18855.2	0.3403306974627873	-0.34356138743823383
Erlotinib	ENSG00000049283	18851.2	0.3363969134684302	-0.33915076545694306
Erlotinib	ENSG00000186204	18849.4	0.33365074701073133	-0.3367150032458925
Erlotinib	ENSG00000197043	18849.0	0.3368853427674646	0.3364156885893553
Erlotinib	ENSG00000158769	18847.2	0.33512966454495574	-0.3329092346744783
Erlotinib	ENSG00000204856	18847.2	0.3368403538275609	0.3508596591791372
Erlotinib	ENSG00000149418	18845.4	0.3320571745285445	-0.32879393068437146
Erlotinib	ENSG00000166145	18841.2	0.32900374510204833	-0.3275816695044422
Erlotinib	ENSG00000102890	18840.4	0.3288000147168756	-0.3183834221475891
Erlotinib	ENSG00000143479	18840.0	0.3286015972133569	0.3267175517572077
Erlotinib	ENSG00000148516	18838.6	0.32816442604644225	0.33423786301835035
Erlotinib	ENSG00000149573	18838.6	0.32638637755088407	-0.32238433477738404
Erlotinib	ENSG00000172818	18836.6	0.32355320944448174	-0.32423944445125624
Erlotinib	ENSG00000073350	18836.4	0.32496131855393684	-0.3260510983119278
Erlotinib	ENSG00000197070	18835.4	0.32789589929254365	-0.32521767270438323
Erlotinib	MGC24103	18834.4	0.32407163470069783	0.3216252058131463
Erlotinib	ENSG00000184363	18834.0	0.32286131190170675	-0.3250976921627175
Erlotinib	C20orf151	18832.6	0.32267749871227136	-0.32880062394913573
Erlotinib	LRG_401	18830.6	0.3216906592280608	-0.3244509443998185
Erlotinib	ENSG00000103067	18830.0	0.3193735193367102	-0.3126485812889634
Erlotinib	FAM176B	18826.0	0.3217148851399977	0.3243324719508078
Erlotinib	ENSG00000104413	18821.8	0.316461000355681	-0.3165106624277465
Erlotinib	ENSG00000052344	18820.4	0.31454696922226444	-0.3199143131749785
Erlotinib	ENSG00000186832	18820.2	0.3188037392880242	-0.32377613704798375
Erlotinib	C12orf23	18819.8	0.31777207340315267	0.30860739064846826
Erlotinib	ENSG00000146904	18819.4	0.3150763190333223	-0.309940528167112
Erlotinib	C6orf225	18819.0	0.32122115270729773	0.3170690297613282
Erlotinib	ENSG00000161791	18818.8	0.31465694383823306	0.32923862103567064
Erlotinib	LEPRE1	18817.0	0.31724639988265996	0.3110922742902965
Erlotinib	ENSG00000241839	18817.0	0.31245592637023123	0.3125393248617783
Erlotinib	ENSG00000128512	18816.0	0.3211959803778008	0.31648358697222556
Erlotinib	ENSG00000119431	18813.2	0.3138527447429341	-0.3070184941622237
Erlotinib	ENSG00000126460	18812.8	0.3144818987413119	-0.3095038023243563
Erlotinib	ENSG00000166130	18812.6	0.31268109561977425	0.303260525869541
Erlotinib	ENSG00000147676	18811.2	0.31434852393509016	-0.31106236249397673
Erlotinib	ENSG00000180921	18810.0	0.3102030760008068	-0.31722232906153375
Erlotinib	ENSG00000163624	18809.6	0.31050488995441794	-0.3065721048779311
Erlotinib	ENSG00000115221	18808.0	0.3108009216114503	-0.3093584184522292
Erlotinib	ENSG00000214530	18807.0	0.3115517883954129	-0.31134746205812286
Erlotinib	ENSG00000213983	18805.0	0.30953954193619876	-0.30086825223715397
Erlotinib	ENSG00000085552	18804.6	0.309972167944406	-0.302313102622357
Erlotinib	ENSG00000198909	18804.6	0.3078917246460947	0.31149704774071557
Erlotinib	ENSG00000155066	18803.6	0.3077807954987689	-0.31100446886768907
Erlotinib	ENSG00000176153	18802.8	0.30807252457372464	-0.31188622153067225
Erlotinib	C1orf172	18801.4	0.3068601790425878	-0.30750678987992597
Erlotinib	ENSG00000174099	18801.2	0.3097291812152981	0.30359521608380374
Erlotinib	ENSG00000117595	18800.0	0.3068084154455981	-0.30605318230905443
Erlotinib	ENSG00000206075	18797.8	0.3079836561927886	-0.3059057834545105
Erlotinib	ENSG00000142227	18791.4	0.30454541750011954	0.3097374335460655
Erlotinib	ENSG00000163661	18791.4	0.3162433625834417	0.3109539375251406
Erlotinib	ENSG00000178750	18791.2	0.30499411918891545	-0.3045309980457157
Erlotinib	ENSG00000184292	18791.2	0.3052378281600311	-0.303342385841644
Erlotinib	ENSG00000174292	18789.8	0.30425106954034614	-0.3048541141336953
Erlotinib	ENSG00000062038	18789.8	0.30433504472813794	-0.30608923126836574
Erlotinib	ENSG00000173068	18789.4	0.304101019072392	0.3058009509246803
Erlotinib	ENSG00000132849	18788.0	0.30345221320897275	-0.3060063662690475
Erlotinib	ENSG00000119411	18787.4	0.3058559721305335	-0.30945997931515057
Erlotinib	ENSG00000172830	18786.6	0.3021282612251805	-0.3158200473306153
Erlotinib	ENSG00000137648	18786.4	0.3017485033846943	-0.30765096744232406
Erlotinib	ENSG00000188706	18785.4	0.3025154489843809	-0.3055794762370696
Erlotinib	ENSG00000163435	18782.6	0.30094712358148057	-0.30649784625793164
Erlotinib	ENSG00000165929	18781.6	0.3003903959372413	-0.3011025987740334
Erlotinib	ENSG00000107614	18780.2	0.301485897684316	0.29767103136214496
Erlotinib	ENSG00000125731	18779.4	0.2996532862208643	-0.28776839902940193
Erlotinib	ENSG00000181104	18778.4	0.29982843591237185	0.29921712608828066
Erlotinib	ENSG00000225663	18777.8	0.30012485455194127	0.298025149130557
Erlotinib	ENSG00000111490	18777.4	0.2993160277852472	-0.2956160152080929
Erlotinib	ENSG00000095066	18777.4	0.30014596129165155	-0.29106579965307616
