Response	Gene ENSEMBL ID
L-685458	LOC100505978
L-685458	ENSG00000171180
L-685458	ENSG00000185869
L-685458	ENSG00000274914
L-685458	ENSG00000174562
L-685458	ENSG00000185448
L-685458	ENSG00000056097
L-685458	ENSG00000142615
L-685458	ENSG00000162631
L-685458	LOC644656
L-685458	ENSG00000104129
L-685458	ENSG00000161681
L-685458	ENSG00000267041
L-685458	ENSG00000198453
L-685458	ENSG00000134480
L-685458	ENSG00000143624
L-685458	ENSG00000183977
L-685458	ENSG00000116574
L-685458	ENSG00000181995
L-685458	ENSG00000145569
L-685458	ENSG00000278570
L-685458	ENSG00000138794
L-685458	ENSG00000166819
L-685458	ENSG00000075624
L-685458	ENSG00000154478
L-685458	ENSG00000196967
L-685458	GDEP
L-685458	LOC100129960
L-685458	LOC440117
L-685458	ENSG00000168621
L-685458	ENSG00000177994
L-685458	ENSG00000175077
L-685458	LOC284408
L-685458	ENSG00000086159
L-685458	LOC286190
L-685458	ENSG00000168515
L-685458	ENSG00000166634
L-685458	CXorf1
L-685458	LOC100507486
L-685458	ENSG00000135722
L-685458	ENSG00000169885
L-685458	ENSG00000134255
L-685458	ENSG00000198093
L-685458	ENSG00000254004
L-685458	ENSG00000215301
L-685458	ENSG00000167635
L-685458	ENSG00000110696
L-685458	ENSG00000204604
L-685458	ENSG00000247095
L-685458	ENSG00000180205
L-685458	ENSG00000174306
L-685458	LOC100507619
L-685458	ENSG00000215908
L-685458	ENSG00000169605
L-685458	ENSG00000230797
L-685458	LOC100128176
L-685458	ENSG00000168060
L-685458	LOC100506642
L-685458	ENSG00000216306
L-685458	ENSG00000128891
L-685458	ENSG00000148795
L-685458	ENSG00000171671
L-685458	ENSG00000132164
L-685458	LRG_445
L-685458	ENSG00000232159
L-685458	LOC100505681
L-685458	ENSG00000155367
L-685458	ENSG00000175544
L-685458	ENSG00000181666
L-685458	ENSG00000146809
L-685458	LOC285441
L-685458	LOC100507599
L-685458	ENSG00000101890
L-685458	ENSG00000061656
L-685458	ENSG00000148925
L-685458	ENSG00000272274
L-685458	ENSG00000186017
L-685458	ENSG00000135740
L-685458	ENSG00000101323
L-685458	ENSG00000049883
L-685458	ENSG00000177112
L-685458	ENSG00000197558
L-685458	ENSG00000169967
L-685458	ENSG00000184650
L-685458	ENSG00000164451
L-685458	ENSG00000095564
L-685458	ENSG00000109775
L-685458	ENSG00000188419
L-685458	LOC100507146
L-685458	LOC100506175
L-685458	LOC84931
L-685458	ENSG00000156574
L-685458	ENSG00000186767
L-685458	ENSG00000120217
L-685458	ENSG00000215915
L-685458	ENSG00000133115
L-685458	LRG_521
L-685458	ENSG00000177932
L-685458	ENSG00000173530
L-685458	ENSG00000177054
L-685458	ENSG00000163516
L-685458	ENSG00000230461
L-685458	ENSG00000163798
L-685458	ENSG00000135535
L-685458	ENSG00000206559
L-685458	ENSG00000281244
L-685458	LOC100507160
L-685458	LOC654780
L-685458	ENSG00000168314
L-685458	ENSG00000163145
L-685458	LOC100270804
L-685458	ENSG00000161533
L-685458	LOC100506236
L-685458	ENSG00000132693
L-685458	ENSG00000241684
L-685458	ENSG00000005889
L-685458	C15orf33
L-685458	ENSG00000155287
L-685458	ENSG00000198464
L-685458	ENSG00000166471
L-685458	ATP1A1OS
L-685458	ENSG00000204001
L-685458	ENSG00000170946
L-685458	ENSG00000100968
L-685458	ENSG00000198854
L-685458	ENSG00000137103
L-685458	ENSG00000182208
L-685458	ENSG00000119950
L-685458	ENSG00000178605
L-685458	LOC100506813
L-685458	ENSG00000196387
L-685458	ENSG00000197415
L-685458	ENSG00000276618
L-685458	ENSG00000145604
L-685458	ENSG00000185236
L-685458	C1orf200
L-685458	ENSG00000197283
L-685458	LOC554201
L-685458	ENSG00000153237
L-685458	ENSG00000066933
L-685458	ENSG00000243319
L-685458	ENSG00000204851
L-685458	ENSG00000242419
L-685458	ENSG00000118520
L-685458	ENSG00000231939
L-685458	ENSG00000153140
L-685458	ENSG00000124678
L-685458	ENSG00000179909
L-685458	ENSG00000140092
L-685458	ENSG00000113384
L-685458	ENSG00000164347
L-685458	ENSG00000007174
L-685458	LOC286083
L-685458	ENSG00000172752
L-685458	ENSG00000159399
L-685458	ENSG00000084073
L-685458	ENSG00000125449
L-685458	ENSG00000134330
L-685458	ENSG00000163110
L-685458	ENSG00000176018
L-685458	C1orf49
L-685458	ENSG00000161298
L-685458	FLJ39534
L-685458	ENSG00000116981
L-685458	LOC100506195
L-685458	ENSG00000163428
L-685458	ENSG00000276345
L-685458	ENSG00000139437
L-685458	ENSG00000137486
L-685458	ENSG00000091127
L-685458	ENSG00000167751
L-685458	ENSG00000147613
L-685458	ENSG00000160469
L-685458	ENSG00000106823
L-685458	ENSG00000224924
L-685458	ENSG00000148672
L-685458	ENSG00000135945
L-685458	ENSG00000169347
L-685458	ENSG00000139151
L-685458	ENSG00000170540
L-685458	PIDD
L-685458	ENSG00000102290
L-685458	ENSG00000233608
L-685458	ENSG00000198791
L-685458	ENSG00000023330
L-685458	ENSG00000113312
L-685458	ENSG00000113163
L-685458	ENSG00000177354
L-685458	PLK1S1
L-685458	ENSG00000103855
L-685458	ENSG00000089775
L-685458	LOC143188
L-685458	ENSG00000099860
L-685458	ENSG00000113048
L-685458	ENSG00000168026
L-685458	ENSG00000148690
L-685458	ENSG00000152256
L-685458	ENSG00000147050
L-685458	ENSG00000141504
L-685458	ENSG00000174255
L-685458	LOC100133985
L-685458	ENSG00000177225
L-685458	LOC647107
L-685458	LOC100289230
L-685458	LOC100505606
L-685458	ENSG00000128881
L-685458	ENSG00000152359
L-685458	ENSG00000200959
L-685458	ENSG00000080293
L-685458	ENSG00000147869
L-685458	ENSG00000214413
L-685458	ENSG00000164619
L-685458	ENSG00000080007
L-685458	ENSG00000113749
L-685458	FAM82A2
L-685458	ENSG00000167186
L-685458	ENSG00000153721
L-685458	ENSG00000135439
L-685458	ENSG00000146067
L-685458	ENSG00000230923
L-685458	ENSG00000113734
L-685458	LOC100506795
L-685458	ENSG00000145863
L-685458	ENSG00000072501
L-685458	ENSG00000119965
L-685458	ENSG00000174448
L-685458	FLJ20712
L-685458	ENSG00000184330
L-685458	ENSG00000171311
L-685458	ENSG00000134326
L-685458	ENSG00000155087
L-685458	ENSG00000187961
L-685458	ENSG00000176715
L-685458	LOC100129722
L-685458	ENSG00000196636
L-685458	ENSG00000153902
L-685458	ENSG00000179817
L-685458	ENSG00000248197
L-685458	ENSG00000137575
L-685458	ENSG00000197603
L-685458	ENSG00000133687
L-685458	C1orf65
L-685458	ENSG00000074319
L-685458	LOC100505862
L-685458	ENSG00000183963
L-685458	ENSG00000105722
L-685458	ENSG00000203666
L-685458	C12orf69
L-685458	ENSG00000224196
L-685458	ENSG00000129625
L-685458	ENSG00000173258
L-685458	ENSG00000256206
L-685458	ENSG00000104826
L-685458	ENSG00000170364
L-685458	ENSG00000163840
L-685458	LOC284379
L-685458	ENSG00000185689
L-685458	ENSG00000146834
L-685458	ENSG00000198914
L-685458	ENSG00000183242
L-685458	ENSG00000107736
L-685458	ENSG00000170777
L-685458	LOC100652861
L-685458	ATPBD4
L-685458	ENSG00000189042
L-685458	LRG_650
L-685458	ENSG00000113368
L-685458	ENSG00000165899
L-685458	ENSG00000226634
L-685458	ENSG00000214249
L-685458	ENSG00000072315
L-685458	ENSG00000174945
L-685458	ENSG00000198089
L-685458	LOC401324
L-685458	ENSG00000197928
L-685458	ENSG00000280798
L-685458	ENSG00000101203
L-685458	ENSG00000165997
L-685458	ENSG00000154188
L-685458	LOC285768
L-685458	LOC100507498
L-685458	ENSG00000146049
L-685458	ENSG00000231999
L-685458	ENSG00000211659
L-685458	ENSG00000155256
L-685458	ENSG00000128626
L-685458	ENSG00000123144
L-685458	FXC1
L-685458	ENSG00000101442
L-685458	ENSG00000108830
L-685458	ENSG00000166862
L-685458	ENSG00000154227
L-685458	ENSG00000181027
L-685458	ENSG00000104967
L-685458	ENSG00000214717
L-685458	ENSG00000154611
L-685458	ENSG00000239961
L-685458	ENSG00000204625
L-685458	ENSG00000197050
L-685458	LOC340094
L-685458	ENSG00000167554
L-685458	ENSG00000027644
L-685458	ENSG00000120055
L-685458	ENSG00000109758
L-685458	LOC100506415
L-685458	ENSG00000279566
L-685458	ENSG00000170255
L-685458	ENSG00000173157
L-685458	C2orf53
L-685458	LOC100287576
L-685458	ENSG00000259849
L-685458	ENSG00000182187
L-685458	ENSG00000182379
L-685458	ENSG00000197857
L-685458	ENSG00000083750
L-685458	ENSG00000092758
L-685458	ENSG00000127325
L-685458	ENSG00000198721
L-685458	ENSG00000109107
L-685458	LOC728485
L-685458	ENSG00000175336
L-685458	ENSG00000171987
L-685458	ENSG00000187848
L-685458	LOC200772
L-685458	ENSG00000197134
L-685458	ENSG00000170367
L-685458	ENSG00000131044
L-685458	ENSG00000121579
L-685458	ENSG00000137857
L-685458	ENSG00000214711
L-685458	ENSG00000136535
L-685458	ENSG00000196475
L-685458	ENSG00000177464
L-685458	ENSG00000164283
L-685458	LOC390940
L-685458	ENSG00000010310
L-685458	ENSG00000142449
L-685458	LOC285593
L-685458	ENSG00000176531
L-685458	ENSG00000105507
L-685458	ENSG00000132275
L-685458	ENSG00000196344
L-685458	ENSG00000188817
L-685458	ENSG00000244588
L-685458	ENSG00000178409
L-685458	ENSG00000007216
L-685458	ENSG00000120053
L-685458	ENSG00000141380
L-685458	LOC100506691
L-685458	ENSG00000176566
L-685458	ENSG00000107643
L-685458	LOC389458
L-685458	LOC284276
L-685458	ENSG00000110619
L-685458	ENSG00000234186
L-685458	ENSG00000055950
L-685458	ENSG00000175334
L-685458	ENSG00000177688
L-685458	ENSG00000107625
L-685458	ENSG00000188051
L-685458	ENSG00000125831
L-685458	ENSG00000049192
L-685458	ENSG00000182132
L-685458	ENSG00000166582
L-685458	ENSG00000175535
L-685458	ENSG00000170340
L-685458	ENSG00000197893
L-685458	ENSG00000166523
L-685458	ENSG00000245680
L-685458	ENSG00000161813
L-685458	ENSG00000167311
L-685458	ENSG00000151475
L-685458	ENSG00000111325
L-685458	ENSG00000179046
L-685458	ENSG00000166246
L-685458	LOC100133190
L-685458	ENSG00000171873
L-685458	ENSG00000274286
L-685458	ENSG00000071909
L-685458	ENSG00000084734
L-685458	ENSG00000135093
L-685458	ENSG00000145708
L-685458	ENSG00000159261
L-685458	LOC100505853
L-685458	ENSG00000037474
L-685458	ENSG00000075415
L-685458	ENSG00000185245
L-685458	ENSG00000197901
L-685458	ENSG00000129158
L-685458	LOC100652825
L-685458	LOC692247
L-685458	ENSG00000154080
L-685458	ENSG00000104824
L-685458	ENSG00000096384
L-685458	ENSG00000175354
L-685458	ENSG00000102218
L-685458	ENSG00000109927
L-685458	ENSG00000167460
L-685458	ENSG00000165119
L-685458	ENSG00000165091
L-685458	ENSG00000082515
L-685458	ENSG00000181789
L-685458	HGC6.3
L-685458	ENSG00000100532
L-685458	ENSG00000174151
L-685458	ENSG00000113100
