Response	Gene ENSEMBL ID
PF2341066	ENSG00000103187
PF2341066	ENSG00000137962
PF2341066	ENSG00000198792
PF2341066	ENSG00000013588
PF2341066	ENSG00000144959
PF2341066	ENSG00000112062
PF2341066	ZNF192
PF2341066	ENSG00000162517
PF2341066	ENSG00000163154
PF2341066	ENSG00000167553
PF2341066	ENSG00000137936
PF2341066	ENSG00000075826
PF2341066	ENSG00000188643
PF2341066	ENSG00000114019
PF2341066	ENSG00000115641
PF2341066	ENSG00000124702
PF2341066	ENSG00000106617
PF2341066	ENSG00000197702
PF2341066	ENSG00000139572
PF2341066	ENSG00000138180
PF2341066	ENSG00000106404
PF2341066	ENSG00000164294
PF2341066	ENSG00000177469
PF2341066	LOC100505875
PF2341066	ENSG00000187720
PF2341066	ENSG00000276644
PF2341066	ENSG00000186468
PF2341066	ENSG00000182511
PF2341066	ENSG00000095383
PF2341066	ENSG00000119711
PF2341066	ENSG00000164111
PF2341066	ENSG00000183011
PF2341066	ENSG00000180730
PF2341066	ENSG00000119760
PF2341066	ENSG00000076067
PF2341066	ENSG00000189171
PF2341066	ENSG00000079557
PF2341066	ENSG00000114737
PF2341066	ENSG00000077984
PF2341066	ENSG00000231889
PF2341066	ENSG00000104299
PF2341066	CSDA
PF2341066	ENSG00000117399
PF2341066	ENSG00000253368
PF2341066	ENSG00000130962
PF2341066	ENSG00000104043
PF2341066	ENSG00000127452
PF2341066	ENSG00000170836
PF2341066	ENSG00000198814
PF2341066	LOC729164
PF2341066	ENSG00000160271
PF2341066	ENSG00000132326
PF2341066	ENSG00000111885
PF2341066	ENSG00000155926
PF2341066	ENSG00000147533
PF2341066	ENSG00000139597
PF2341066	ENSG00000256294
PF2341066	ENSG00000197763
PF2341066	ENSG00000154127
PF2341066	ENSG00000197879
PF2341066	ENSG00000100994
PF2341066	ENSG00000144824
PF2341066	ENSG00000121766
PF2341066	ENSG00000146085
PF2341066	ENSG00000198729
PF2341066	ENSG00000163545
PF2341066	SIGLECP3
PF2341066	ENSG00000277354
PF2341066	KIAA1609
PF2341066	ENSG00000138483
PF2341066	ENSG00000154654
PF2341066	ENSG00000147421
PF2341066	ENSG00000175592
PF2341066	ENSG00000136404
PF2341066	ENSG00000182168
PF2341066	ENSG00000000003
PF2341066	ENSG00000121671
PF2341066	LOC100506226
PF2341066	ENSG00000014257
PF2341066	ENSG00000023909
PF2341066	ENSG00000096433
PF2341066	ENSG00000157510
PF2341066	ENSG00000112378
PF2341066	ENSG00000182578
PF2341066	ENSG00000163421
PF2341066	ENSG00000159231
PF2341066	ENSG00000106261
PF2341066	ENSG00000173451
PF2341066	ENSG00000140368
PF2341066	ENSG00000083168
PF2341066	ENSG00000112078
PF2341066	ENSG00000118156
PF2341066	ENSG00000198829
PF2341066	ENSG00000136068
PF2341066	ENSG00000221968
PF2341066	ENSG00000274538
PF2341066	ENSG00000169908
PF2341066	ENSG00000168538
PF2341066	ENSG00000151693
PF2341066	ENSG00000130227
PF2341066	ENSG00000147465
PF2341066	ENSG00000101447
PF2341066	ENSG00000011243
PF2341066	ENSG00000168887
PF2341066	ENSG00000206445
PF2341066	ENSG00000118260
PF2341066	ENSG00000171109
PF2341066	ENSG00000101000
PF2341066	ENSG00000142627
PF2341066	ENSG00000142871
PF2341066	LOC100507433
PF2341066	ENSG00000185291
PF2341066	ENSG00000088882
PF2341066	ENSG00000175505
PF2341066	ENSG00000170049
PF2341066	ENSG00000018408
PF2341066	ENSG00000183696
PF2341066	ENSG00000080644
PF2341066	ENSG00000171729
PF2341066	ENSG00000141562
PF2341066	ENSG00000129691
PF2341066	ENSG00000111321
PF2341066	ENSG00000124214
PF2341066	ENSG00000011258
PF2341066	ENSG00000078674
PF2341066	KIAA0494
PF2341066	ENSG00000105974
PF2341066	ENSG00000091409
PF2341066	ENSG00000180660
PF2341066	C21orf63
PF2341066	ENSG00000125447
PF2341066	LOC100506585
PF2341066	ENSG00000099985
PF2341066	ENSG00000135686
PF2341066	C16orf57
