Response	Gene ENSEMBL ID
TAE684	FLJ10038
TAE684	ENSG00000198625
TAE684	ENSG00000164294
TAE684	ENSG00000138119
TAE684	ENSG00000073711
TAE684	ENSG00000006327
TAE684	ENSG00000196924
TAE684	C3orf71
TAE684	ENSG00000162734
TAE684	ENSG00000072682
TAE684	ENSG00000011426
TAE684	ENSG00000114933
TAE684	ENSG00000172380
TAE684	ENSG00000118513
TAE684	ENSG00000018408
TAE684	ENSG00000103187
TAE684	ENSG00000057019
TAE684	ENSG00000125148
TAE684	LOC100507331
TAE684	ENSG00000177469
TAE684	ENSG00000100345
TAE684	ENSG00000163050
TAE684	ENSG00000167553
TAE684	ENSG00000189227
TAE684	ENSG00000168938
TAE684	ENSG00000155366
TAE684	ENSG00000203705
TAE684	ENSG00000145332
TAE684	ENSG00000152382
TAE684	LRG_254
TAE684	ENSG00000005884
TAE684	ENSG00000163430
TAE684	ENSG00000164406
TAE684	ENSG00000176014
TAE684	ENSG00000177697
TAE684	ENSG00000008256
TAE684	ENSG00000142871
TAE684	ENSG00000137693
TAE684	ENSG00000197702
TAE684	ENSG00000160055
TAE684	ENSG00000134013
TAE684	ENSG00000174485
TAE684	LRG_41
TAE684	ENSG00000197879
TAE684	ENSG00000137962
TAE684	ENSG00000143190
TAE684	ENSG00000139597
TAE684	ENSG00000144959
TAE684	ENSG00000183853
TAE684	ENSG00000157741
TAE684	ENSG00000115641
TAE684	ENSG00000214063
TAE684	ENSG00000140350
TAE684	LOC729570
TAE684	ENSG00000152104
TAE684	ENSG00000137801
TAE684	ENSG00000231225
TAE684	ENSG00000150687
TAE684	ENSG00000119408
TAE684	ENSG00000105974
TAE684	ENSG00000158615
TAE684	ENSG00000083444
TAE684	ENSG00000137876
TAE684	ENSG00000175166
TAE684	ENSG00000132561
TAE684	ENSG00000136240
TAE684	ENSG00000145703
TAE684	ENSG00000183696
TAE684	ENSG00000145623
TAE684	ENSG00000150527
TAE684	ENSG00000128791
TAE684	LOC400027
TAE684	ENSG00000133818
TAE684	C12orf47
TAE684	ENSG00000119326
TAE684	ENSG00000115524
TAE684	ENSG00000150593
TAE684	ENSG00000114019
TAE684	ENSG00000100196
TAE684	ENSG00000078177
TAE684	ENSG00000143442
TAE684	ENSG00000175592
TAE684	ENSG00000134250
TAE684	ENSG00000117697
TAE684	ENSG00000120708
TAE684	ENSG00000175787
TAE684	ENSG00000198496
TAE684	ENSG00000140265
TAE684	ENSG00000168994
TAE684	ENSG00000165915
TAE684	ENSG00000124145
TAE684	ENSG00000166716
TAE684	ENSG00000137776
TAE684	ENSG00000178385
TAE684	ENSG00000087077
TAE684	ENSG00000116852
TAE684	ENSG00000140416
TAE684	LOC100507266
TAE684	ENSG00000149150
TAE684	ENSG00000136830
TAE684	ENSG00000126458
TAE684	ENSG00000189308
TAE684	ENSG00000119778
TAE684	ENSG00000137267
TAE684	LEPREL1
TAE684	GCFC1
TAE684	ENSG00000197747
TAE684	ENSG00000166860
TAE684	ENSG00000169660
TAE684	ENSG00000117625
TAE684	LOC100129387
TAE684	ENSG00000039560
TAE684	ENSG00000276023
TAE684	ENSG00000116668
TAE684	ENSG00000113732
TAE684	LOC100506302
TAE684	ENSG00000123159
TAE684	ENSG00000115310
TAE684	ENSG00000120519
TAE684	ENSG00000189079
TAE684	LOC282997
TAE684	ENSG00000183011
TAE684	LRG_322
TAE684	ENSG00000168421
TAE684	ENSG00000100316
TAE684	ENSG00000167524
TAE684	ENSG00000117519
TAE684	ENSG00000113851
TAE684	ENSG00000221968
TAE684	ENSG00000163666
TAE684	ENSG00000032219
TAE684	LOC100294362
TAE684	ENSG00000171490
TAE684	ENSG00000104133
TAE684	ENSG00000055917
TAE684	ENSG00000132300
TAE684	ENSG00000182511
TAE684	ENSG00000137936
TAE684	ENSG00000050165
TAE684	ENSG00000122786
TAE684	ENSG00000091136
TAE684	ENSG00000167601
TAE684	ENSG00000089159
TAE684	ENSG00000085733
TAE684	ENSG00000242412
TAE684	ENSG00000168887
TAE684	ENSG00000130147
TAE684	ENSG00000070614
TAE684	ENSG00000120071
TAE684	C1orf133
TAE684	ENSG00000102024
TAE684	ENSG00000173451
TAE684	ENSG00000198700
TAE684	ENSG00000143379
TAE684	ENSG00000105373
TAE684	ENSG00000224032
TAE684	ENSG00000114739
TAE684	ENSG00000119397
TAE684	ENSG00000109920
TAE684	ENSG00000147509
TAE684	ENSG00000039523
TAE684	ENSG00000132326
TAE684	ENSG00000155324
TAE684	ENSG00000079335
TAE684	ENSG00000159023
TAE684	ENSG00000116906
TAE684	ENSG00000215424
TAE684	ENSG00000163626
TAE684	ENSG00000130402
TAE684	ENSG00000183891
TAE684	ENSG00000132002
TAE684	ENSG00000175087
TAE684	ENSG00000145012
TAE684	ENSG00000050405
TAE684	ENSG00000011258
TAE684	CG030
TAE684	ENSG00000205730
TAE684	ENSG00000095370
TAE684	ENSG00000072110
TAE684	ENSG00000117298
TAE684	ENSG00000133056
TAE684	ENSG00000049245
TAE684	ENSG00000124201
TAE684	ENSG00000115421
TAE684	ENSG00000082781
TAE684	ENSG00000105483
TAE684	ENSG00000138767
TAE684	ENSG00000128595
TAE684	ENSG00000066322
TAE684	ENSG00000116017
TAE684	ENSG00000131236
TAE684	ENSG00000174775
TAE684	ENSG00000166741
TAE684	ENSG00000143493
TAE684	ENSG00000102119
TAE684	ENSG00000213859
TAE684	GCFC1-AS1
TAE684	ENSG00000099326
TAE684	ENSG00000277354
TAE684	ENSG00000101955
TAE684	ENSG00000221944
TAE684	ENSG00000148154
TAE684	ENSG00000110931
TAE684	ENSG00000088992
TAE684	ENSG00000185551
TAE684	ENSG00000104368
TAE684	ENSG00000019144
TAE684	ENSG00000228315
TAE684	ENSG00000241058
TAE684	ENSG00000136238
TAE684	ENSG00000138439
TAE684	ENSG00000188229
TAE684	ENSG00000247315
TAE684	ENSG00000273993
TAE684	ENSG00000145632
TAE684	ENSG00000105976
TAE684	ENSG00000162521
TAE684	ENSG00000144824
TAE684	ENSG00000168615
TAE684	ENSG00000189171
TAE684	ENSG00000151116
TAE684	ENSG00000119900
TAE684	ENSG00000173575
TAE684	ENSG00000173402
TAE684	ENSG00000145041
TAE684	ENSG00000135775
TAE684	LOC100506779
TAE684	ENSG00000106366
TAE684	ENSG00000142627
TAE684	ENSG00000188549
TAE684	ENSG00000168772
TAE684	ENSG00000231991
TAE684	ENSG00000122863
TAE684	ENSG00000124406
TAE684	ENSG00000096654
TAE684	ENSG00000187736
TAE684	ENSG00000117222
TAE684	ENSG00000184863
TAE684	ENSG00000170017
TAE684	ENSG00000203880
TAE684	LINC00338
TAE684	ENSG00000092841
TAE684	ENSG00000120509
TAE684	ENSG00000139718
TAE684	ENSG00000197008
TAE684	ENSG00000102974
TAE684	ENSG00000138190
TAE684	ENSG00000107262
TAE684	ENSG00000121741
TAE684	ENSG00000176390
TAE684	ENSG00000115084
TAE684	ENSG00000111605
TAE684	ENSG00000115020
TAE684	ENSG00000165879
TAE684	ENSG00000231889
TAE684	ENSG00000143851
TAE684	ENSG00000188026
TAE684	ENSG00000127920
TAE684	ENSG00000276163
TAE684	ENSG00000119866
TAE684	ENSG00000197712
TAE684	LRG_494
TAE684	LOC100505761
TAE684	ENSG00000186566
TAE684	ENSG00000008277
TAE684	ENSG00000133816
TAE684	ENSG00000175611
TAE684	ENSG00000092199
TAE684	ENSG00000186666
TAE684	ENSG00000096060
TAE684	ENSG00000101447
TAE684	ENSG00000040933
TAE684	ENSG00000106636
TAE684	ENSG00000167191
TAE684	ENSG00000105971
TAE684	C4orf21
TAE684	ENSG00000074590
TAE684	RG9MTD2
TAE684	ENSG00000174444
TAE684	ENSG00000166333
TAE684	ENSG00000196418
TAE684	ENSG00000135837
TAE684	ENSG00000186517
TAE684	ENSG00000083123
TAE684	ENSG00000130755
TAE684	ENSG00000105355
TAE684	ENSG00000186812
TAE684	ENSG00000181827
TAE684	ENSG00000171867
TAE684	FAM176A
TAE684	ENSG00000273873
TAE684	ENSG00000089234
TAE684	ENSG00000198814
TAE684	ENSG00000067057
TAE684	ENSG00000111799
TAE684	LRG_51
TAE684	ENSG00000163125
TAE684	ENSG00000165886
TAE684	ENSG00000142541
TAE684	ENSG00000050820
TAE684	ENSG00000198794
TAE684	ENSG00000044115
TAE684	ENSG00000057252
TAE684	ENSG00000176108
TAE684	ENSG00000076770
TAE684	ENSG00000122188
TAE684	ENSG00000101871
TAE684	ENSG00000035403
TAE684	LOC338799
TAE684	ENSG00000170836
TAE684	ENSG00000171105
TAE684	ENSG00000266967
TAE684	LOC100289019
TAE684	ENSG00000165410
TAE684	ENSG00000182004
TAE684	ENSG00000101445
TAE684	ENSG00000178922
TAE684	ENSG00000135404
TAE684	ENSG00000140396
TAE684	ENSG00000182162
TAE684	ENSG00000108799
TAE684	ENSG00000180891
TAE684	ENSG00000070778
TAE684	ENSG00000165494
TAE684	ENSG00000129116
TAE684	ENSG00000168769
TAE684	ENSG00000158042
TAE684	LRG_493
TAE684	ENSG00000277401
TAE684	ENSG00000118707
TAE684	ENSG00000164074
TAE684	ENSG00000164023
TAE684	ENSG00000023228
TAE684	ENSG00000078674
TAE684	ENSG00000255423
TAE684	LOC100126784
TAE684	ENSG00000150551
TAE684	ENSG00000176444
TAE684	ENSG00000137409
TAE684	ENSG00000196141
TAE684	LRG_351
TAE684	ENSG00000140575
TAE684	ENSG00000236778
TAE684	ENSG00000159917
TAE684	LOC100506776
TAE684	ENSG00000198892
TAE684	ENSG00000214783
TAE684	ENSG00000148848
TAE684	ENSG00000109686
TAE684	ENSG00000116001
TAE684	ENSG00000092020
TAE684	ENSG00000168487
TAE684	ENSG00000265241
TAE684	ENSG00000161203
TAE684	LOC100527964
TAE684	ENSG00000009790
TAE684	ENSG00000138180
TAE684	ENSG00000177700
TAE684	ENSG00000187079
TAE684	ENSG00000125246
TAE684	ENSG00000117228
TAE684	ENSG00000105639
TAE684	ENSG00000176371
TAE684	GLTPD1
TAE684	ENSG00000135862
TAE684	ENSG00000007968
TAE684	ENSG00000163013
TAE684	ENSG00000134278
TAE684	ENSG00000187257
TAE684	ENSG00000147421
TAE684	ENSG00000156650
TAE684	ENSG00000166173
TAE684	ENSG00000127337
TAE684	ENSG00000188785
TAE684	ENSG00000230701
TAE684	ENSG00000161558
TAE684	ENSG00000013364
TAE684	ENSG00000182718
TAE684	ENSG00000152270
TAE684	C9orf30
TAE684	ENSG00000059728
TAE684	ENSG00000152952
TAE684	ENSG00000142669
TAE684	ENSG00000126882
TAE684	ENSG00000215790
TAE684	ENSG00000262246
TAE684	ENSG00000168140
TAE684	ENSG00000143437
TAE684	ENSG00000121289
TAE684	ENSG00000019549
TAE684	ENSG00000173218
TAE684	ENSG00000213390
TAE684	ENSG00000116285
TAE684	ENSG00000281614
TAE684	ENSG00000105122
TAE684	ENSG00000002834
TAE684	ENSG00000099308
TAE684	ENSG00000275575
TAE684	ENSG00000125733
TAE684	ENSG00000114529
TAE684	ENSG00000103855
TAE684	ENSG00000076067
TAE684	ENSG00000188643
TAE684	ENSG00000269220
TAE684	ENSG00000100258
TAE684	ENSG00000163702
TAE684	ENSG00000070087
TAE684	ENSG00000169908
TAE684	ENSG00000027847
TAE684	ENSG00000100060
TAE684	ENSG00000274538
TAE684	ENSG00000198837
TAE684	ENSG00000071127
TAE684	ENSG00000000457
TAE684	ENSG00000173611
TAE684	ENSG00000105825
TAE684	ENSG00000143333
TAE684	ENSG00000116871
TAE684	ENSG00000139926
TAE684	ENSG00000156304
TAE684	ENSG00000148925
TAE684	ENSG00000109618
TAE684	ENSG00000153786
TAE684	ENSG00000165995
TAE684	ENSG00000171989
TAE684	LOC100506548
TAE684	ENSG00000181274
TAE684	ENSG00000146966
TAE684	ENSG00000017483
TAE684	ENSG00000024422
TAE684	ENSG00000197471
TAE684	ENSG00000110876
TAE684	ENSG00000132182
TAE684	ENSG00000033030
TAE684	ENSG00000214517
TAE684	ENSG00000174282
TAE684	ENSG00000188206
TAE684	ENSG00000047410
TAE684	ENSG00000183255
TAE684	ENSG00000013588
TAE684	ENSG00000100027
TAE684	LRG_742
TAE684	ENSG00000134531
TAE684	ALS2CR8
TAE684	ENSG00000110514
TAE684	ENSG00000010319
TAE684	ENSG00000148444
TAE684	ENSG00000249115
TAE684	ENSG00000179598
TAE684	ENSG00000148730
TAE684	ENSG00000214765
TAE684	ENSG00000110934
TAE684	ENSG00000070610
TAE684	AGXT2L2
TAE684	ENSG00000103966
TAE684	ENSG00000156515
TAE684	ENSG00000104613
TAE684	ENSG00000148835
TAE684	ENSG00000139278
TAE684	ENSG00000101363
TAE684	ENSG00000106617
TAE684	ENSG00000166681
TAE684	ENSG00000185811
TAE684	ENSG00000162775
TAE684	ENSG00000184677
TAE684	ENSG00000109452
TAE684	ENSG00000254470
TAE684	ENSG00000185344
TAE684	ENSG00000186594
TAE684	ENSG00000174606
TAE684	ENSG00000100802
TAE684	ENSG00000082497
TAE684	LOC100507424
TAE684	ENSG00000103657
TAE684	ENSG00000100711
TAE684	JHDM1D
TAE684	ENSG00000106948
TAE684	ENSG00000131015
TAE684	ENSG00000177556
TAE684	ENSG00000112186
TAE684	ENSG00000111678
TAE684	ENSG00000008869
TAE684	ENSG00000118873
TAE684	ENSG00000122692
TAE684	ENSG00000089094
TAE684	ENSG00000073614
TAE684	LOC100507110
TAE684	ENSG00000186106
TAE684	ENSG00000141582
TAE684	ENSG00000136938
TAE684	LOC100505730
TAE684	HNRPDL
TAE684	ENSG00000074370
TAE684	ENSG00000236901
TAE684	ENSG00000146242
TAE684	ENSG00000118308
TAE684	ENSG00000023892
TAE684	ENSG00000100650
TAE684	ENSG00000166833
TAE684	ENSG00000117091
TAE684	ENSG00000163374
TAE684	ENSG00000137764
TAE684	ENSG00000083520
TAE684	ENSG00000132669
TAE684	ENSG00000100139
TAE684	ENSG00000173706
TAE684	ENSG00000187742
TAE684	ENSG00000146373
TAE684	FLJ31306
TAE684	ENSG00000159388
TAE684	ENSG00000073910
TAE684	PKM2
TAE684	ENSG00000166396
TAE684	ENSG00000165526
TAE684	ENSG00000198146
TAE684	ENSG00000204977
TAE684	ENSG00000182944
TAE684	ENSG00000129993
TAE684	ENSG00000269891
TAE684	LOC440288
TAE684	LAMB2P1
TAE684	ENSG00000058673
TAE684	LOC100129250
TAE684	ENSG00000166073
TAE684	ENSG00000100425
TAE684	ENSG00000178209
TAE684	ENSG00000164038
TAE684	ENSG00000124570
TAE684	ENSG00000134590
TAE684	ENSG00000142065
TAE684	ENSG00000123329
TAE684	ENSG00000112294
TAE684	ENSG00000145388
TAE684	ENSG00000172273
TAE684	ENSG00000196935
TAE684	ENSG00000111249
TAE684	ENSG00000038382
TAE684	ENSG00000148143
TAE684	ENSG00000090470
TAE684	ENSG00000177963
TAE684	ENSG00000136279
TAE684	LOC253039
TAE684	ENSG00000160714
TAE684	ENSG00000120798
TAE684	ENSG00000149476
TAE684	LOC100507516
TAE684	ENSG00000170448
TAE684	ENSG00000116580
TAE684	ENSG00000109381
TAE684	ENSG00000173210
TAE684	ENSG00000184840
TAE684	LOC387723
TAE684	LOC254128
TAE684	ENSG00000165209
TAE684	ENSG00000115414
TAE684	ENSG00000183337
TAE684	ENSG00000143155
TAE684	ENSG00000177042
TAE684	ENSG00000117153
TAE684	ENSG00000257218
TAE684	ENSG00000120333
TAE684	ENSG00000159840
TAE684	ENSG00000118508
TAE684	ENSG00000117707
TAE684	LRG_288
TAE684	ENSG00000146083
TAE684	ENSG00000129625
TAE684	ENSG00000160679
TAE684	LRG_749
TAE684	ENSG00000155034
TAE684	ENSG00000077458
TAE684	ENSG00000137154
TAE684	ENSG00000170275
TAE684	ENSG00000123130
