Response	Gene ENSEMBL ID
17-AAG	LOC100505967
17-AAG	ENSG00000138615
17-AAG	ENSG00000113583
17-AAG	ENSG00000184611
17-AAG	ENSG00000169064
17-AAG	LOC100129597
17-AAG	ENSG00000132874
17-AAG	ENSG00000165309
17-AAG	ENSG00000181019
17-AAG	CXorf30
17-AAG	ENSG00000042286
17-AAG	ENSG00000262655
17-AAG	ENSG00000012223
17-AAG	ENSG00000144909
17-AAG	ENSG00000113946
17-AAG	ENSG00000147874
17-AAG	LOC100505776
17-AAG	ENSG00000153347
17-AAG	ENSG00000171509
17-AAG	ENSG00000134533
17-AAG	ENSG00000235602
17-AAG	ENSG00000150455
17-AAG	ENSG00000223364
17-AAG	SLC9A11
17-AAG	ENSG00000156689
17-AAG	ENSG00000153707
17-AAG	ENSG00000120937
17-AAG	ENSG00000167612
17-AAG	ENSG00000108100
17-AAG	ENSG00000130649
17-AAG	C3orf15
17-AAG	ENSG00000118600
17-AAG	ENSG00000038945
17-AAG	LOC100506710
17-AAG	ENSG00000135205
17-AAG	ENSG00000072315
17-AAG	ENSG00000162551
17-AAG	ENSG00000168152
17-AAG	LOC100505650
17-AAG	ENSG00000171199
17-AAG	ENSG00000187678
17-AAG	C9orf38
17-AAG	ENSG00000275981
17-AAG	ENSG00000114126
17-AAG	ENSG00000117971
17-AAG	ENSG00000120875
17-AAG	ENSG00000165233
17-AAG	ENSG00000172264
17-AAG	ENSG00000161677
17-AAG	ENSG00000182154
17-AAG	ENSG00000130489
17-AAG	ENSG00000078795
17-AAG	ENSG00000140993
17-AAG	ENSG00000165805
17-AAG	ENSG00000125912
17-AAG	ENSG00000120158
17-AAG	ENSG00000125966
17-AAG	ENSG00000182771
17-AAG	ENSG00000237232
17-AAG	ENSG00000088053
17-AAG	ENSG00000198889
17-AAG	ENSG00000101439
17-AAG	ENSG00000104883
17-AAG	ENSG00000157765
17-AAG	ENSG00000259092
17-AAG	ENSG00000111344
17-AAG	ENSG00000143502
17-AAG	ENSG00000213658
17-AAG	ENSG00000102265
17-AAG	ENSG00000069702
17-AAG	ENSG00000077254
17-AAG	ENSG00000100865
17-AAG	ENSG00000227124
17-AAG	ENSG00000132963
17-AAG	ENSG00000114742
17-AAG	ENSG00000160145
17-AAG	ENSG00000130167
17-AAG	ENSG00000251474
17-AAG	ENSG00000164746
17-AAG	ENSG00000177700
17-AAG	ENSG00000138678
17-AAG	ENSG00000164326
17-AAG	ENSG00000197019
17-AAG	ENSG00000198721
17-AAG	ENSG00000060982
17-AAG	ENSG00000173327
17-AAG	ENSG00000119986
17-AAG	ENSG00000142303
17-AAG	ENSG00000152670
17-AAG	ENSG00000136810
17-AAG	ENSG00000175806
17-AAG	ENSG00000103260
17-AAG	ENSG00000151176
17-AAG	ENSG00000231256
17-AAG	LOC100507212
17-AAG	ENSG00000107890
17-AAG	ENSG00000271303
17-AAG	ENSG00000103710
