Response	Gene ENSEMBL ID
AZD0530	C19orf10
AZD0530	ENSG00000149548
AZD0530	ENSG00000106803
AZD0530	ENSG00000148248
AZD0530	ENSG00000159082
AZD0530	ENSG00000122121
AZD0530	ENSG00000143190
AZD0530	ENSG00000154553
AZD0530	ENSG00000130382
AZD0530	ENSG00000120658
AZD0530	ENSG00000140557
AZD0530	ENSG00000078804
AZD0530	ENSG00000115661
AZD0530	ENSG00000137941
AZD0530	ENSG00000107562
AZD0530	TRIM78P
AZD0530	ENSG00000256660
AZD0530	ENSG00000214681
AZD0530	ENSG00000178974
AZD0530	ENSG00000167657
AZD0530	ENSG00000254550
AZD0530	ENSG00000188937
AZD0530	ENSG00000205835
AZD0530	ENSG00000155269
AZD0530	ENSG00000105929
AZD0530	ENSG00000186409
AZD0530	ENSG00000141905
AZD0530	ENSG00000188994
AZD0530	ENSG00000182108
AZD0530	ENSG00000135870
AZD0530	ENSG00000106992
AZD0530	ENSG00000104969
AZD0530	ENSG00000157680
AZD0530	ENSG00000136213
AZD0530	ENSG00000169302
AZD0530	ENSG00000150656
AZD0530	ENSG00000197429
AZD0530	ENSG00000170624
AZD0530	ENSG00000105784
AZD0530	ENSG00000153814
AZD0530	ENSG00000146385
AZD0530	ENSG00000167642
AZD0530	ENSG00000130234
AZD0530	ENSG00000141985
AZD0530	ENSG00000072062
AZD0530	ENSG00000182985
AZD0530	LRG_89
AZD0530	GRIK1-AS2
AZD0530	ENSG00000156675
AZD0530	ENSG00000183960
AZD0530	ENSG00000183486
AZD0530	ENSG00000054219
AZD0530	ENSG00000185437
AZD0530	LOC729164
AZD0530	ENSG00000058262
AZD0530	ENSG00000118640
AZD0530	LOC284578
AZD0530	ENSG00000143314
AZD0530	ENSG00000071246
AZD0530	ENSG00000150712
AZD0530	ENSG00000164778
AZD0530	LOC100507265
AZD0530	ENSG00000119707
AZD0530	ENSG00000096063
AZD0530	ENSG00000106772
AZD0530	ENSG00000111961
AZD0530	ENSG00000175893
AZD0530	ENSG00000137145
AZD0530	LOC157273
AZD0530	ENSG00000119318
AZD0530	ENSG00000224975
AZD0530	ENSG00000205363
AZD0530	ENSG00000281877
AZD0530	ENSG00000107201
AZD0530	ENSG00000214215
AZD0530	FAM54B
AZD0530	ENSG00000221994
AZD0530	ENSG00000059378
AZD0530	ENSG00000169826
AZD0530	ENSG00000106302
AZD0530	ENSG00000133106
AZD0530	ENSG00000163359
AZD0530	LOC100289251
AZD0530	ENSG00000167604
