Response	Gene ENSEMBL ID
Irinotecan	ENSG00000151117
Irinotecan	ENSG00000108559
Irinotecan	ENSG00000117984
Irinotecan	ENSG00000183684
Irinotecan	ENSG00000182952
Irinotecan	ENSG00000145220
Irinotecan	ENSG00000239900
Irinotecan	ENSG00000159348
Irinotecan	ENSG00000124935
Irinotecan	ENSG00000166509
Irinotecan	ENSG00000124939
Irinotecan	ENSG00000006747
Irinotecan	ENSG00000110484
Irinotecan	ENSG00000115484
Irinotecan	ENSG00000173402
Irinotecan	ENSG00000144524
Irinotecan	ENSG00000170367
Irinotecan	ENSG00000137054
Irinotecan	ENSG00000107371
Irinotecan	ENSG00000086189
Irinotecan	ENSG00000120699
Irinotecan	ENSG00000076344
Irinotecan	ENSG00000143842
Irinotecan	ENSG00000078898
Irinotecan	ENSG00000065427
Irinotecan	ENSG00000005100
Irinotecan	ENSG00000130513
Irinotecan	ENSG00000147274
Irinotecan	ENSG00000183566
Irinotecan	ENSG00000165283
Irinotecan	ENSG00000141030
Irinotecan	ENSG00000108651
Irinotecan	LRG_183
Irinotecan	ENSG00000243064
Irinotecan	ENSG00000112029
Irinotecan	ENSG00000187535
Irinotecan	ENSG00000168438
Irinotecan	LOC100128098
Irinotecan	ENSG00000171566
Irinotecan	ENSG00000173269
Irinotecan	ENSG00000173267
Irinotecan	ENSG00000049167
Irinotecan	ENSG00000070731
Irinotecan	ENSG00000187554
Irinotecan	C17orf81
Irinotecan	LOC100129196
Irinotecan	ENSG00000160182
Irinotecan	ENSG00000108561
Irinotecan	ENSG00000141101
Irinotecan	ENSG00000112208
Irinotecan	ENSG00000143217
Irinotecan	ENSG00000141127
Irinotecan	ENSG00000079387
Irinotecan	ENSG00000271880
Irinotecan	KDM5B-AS1
Irinotecan	ENSG00000169509
Irinotecan	FLJ11235
Irinotecan	ENSG00000163607
Irinotecan	ENSG00000151090
Irinotecan	ENSG00000136883
Irinotecan	ENSG00000130935
Irinotecan	ENSG00000146281
Irinotecan	ENSG00000071994
Irinotecan	ENSG00000278466
Irinotecan	ENSG00000168589
Irinotecan	ENSG00000168286
Irinotecan	ENSG00000164050
Irinotecan	ENSG00000075275
Irinotecan	ENSG00000115758
Irinotecan	ENSG00000179409
Irinotecan	ENSG00000135521
Irinotecan	ENSG00000228859
Irinotecan	ENSG00000156261
Irinotecan	ENSG00000073536
Irinotecan	ENSG00000141738
Irinotecan	ENSG00000244242
Irinotecan	ENSG00000198522
Irinotecan	ENSG00000136938
Irinotecan	ENSG00000079246
Irinotecan	ENSG00000090238
Irinotecan	ENSG00000166226
Irinotecan	ENSG00000095319
Irinotecan	ENSG00000138381
Irinotecan	ENSG00000177602
Irinotecan	ENSG00000169976
Irinotecan	C9orf71
Irinotecan	ENSG00000105202
Irinotecan	ENSG00000167088
Irinotecan	ENSG00000136527
Irinotecan	ENSG00000178038
Irinotecan	ENSG00000125454
Irinotecan	ENSG00000109534
Irinotecan	ENSG00000186625
Irinotecan	CCDC75
Irinotecan	ENSG00000151465
Irinotecan	ENSG00000047578
Irinotecan	ENSG00000149043
Irinotecan	ENSG00000086544
Irinotecan	ENSG00000154274
Irinotecan	ENSG00000163006
Irinotecan	ENSG00000203697
Irinotecan	ENSG00000123737
Irinotecan	ENSG00000155324
Irinotecan	ENSG00000134480
Irinotecan	ENSG00000212866
Irinotecan	ENSG00000215522
Irinotecan	ENSG00000012171
Irinotecan	ENSG00000148459
Irinotecan	ENSG00000218416
Irinotecan	ENSG00000156453
Irinotecan	ENSG00000175920
Irinotecan	ENSG00000113272
Irinotecan	ENSG00000146457
Irinotecan	ENSG00000128951
Irinotecan	ENSG00000112578
Irinotecan	ENSG00000107833
Irinotecan	ENSG00000111339
Irinotecan	ENSG00000163026
Irinotecan	ENSG00000171865
Irinotecan	ENSG00000183888
Irinotecan	ENSG00000169583
Irinotecan	ENSG00000126457
Irinotecan	ENSG00000135624
Irinotecan	ENSG00000163872
Irinotecan	ENSG00000173467
Irinotecan	ENSG00000154719
Irinotecan	ENSG00000143942
Irinotecan	ENSG00000120253
Irinotecan	ENSG00000010244
Irinotecan	ENSG00000109519
Irinotecan	ENSG00000177885
Irinotecan	ENSG00000109501
Irinotecan	ENSG00000007516
Irinotecan	ENSG00000189007
Irinotecan	ENSG00000163638
Irinotecan	LRG_314
Irinotecan	ENSG00000127804
Irinotecan	ENSG00000132313
Irinotecan	ENSG00000167513
Irinotecan	ENSG00000105357
Irinotecan	ENSG00000174233
Irinotecan	ENSG00000060656
Irinotecan	ENSG00000122176
Irinotecan	ENSG00000178999
Irinotecan	ENSG00000120438
Irinotecan	ENSG00000085840
Irinotecan	ENSG00000143001
Irinotecan	ENSG00000223887
