Response	Gene ENSEMBL ID
LBW242	ENSG00000110768
LBW242	ENSG00000142185
LBW242	ENSG00000002745
LBW242	ENSG00000135486
LBW242	ENSG00000205927
LBW242	MGC2889
LBW242	ENSG00000112837
LBW242	ENSG00000079332
LBW242	ENSG00000165806
LBW242	LOC100506226
LBW242	ENSG00000204628
LBW242	ENSG00000256206
LBW242	ENSG00000065717
LBW242	ENSG00000152782
LBW242	ENSG00000164287
LBW242	ENSG00000167191
LBW242	ENSG00000165660
LBW242	C10orf137
LBW242	LOC100128788
LBW242	ENSG00000233151
LBW242	ENSG00000176692
LBW242	ENSG00000166135
LBW242	ENSG00000186075
LBW242	ENSG00000162341
LBW242	ENSG00000204669
LBW242	ENSG00000165879
LBW242	ENSG00000198515
LBW242	ENSG00000143643
LBW242	ENSG00000160781
LBW242	ENSG00000019995
LBW242	ENSG00000109944
LBW242	ENSG00000100994
LBW242	ENSG00000123594
LBW242	ENSG00000166199
LBW242	ENSG00000080031
LBW242	ENSG00000188425
LBW242	LOC729799
LBW242	ENSG00000144909
LBW242	LOC100130357
LBW242	MLL3
LBW242	ENSG00000107651
LBW242	ENSG00000248712
LBW242	ENSG00000127884
LBW242	ENSG00000177694
LBW242	ENSG00000072071
LBW242	ENSG00000121691
LBW242	ENSG00000135999
LBW242	ENSG00000070882
LBW242	ENSG00000059573
LBW242	ENSG00000138083
LBW242	ENSG00000188582
LBW242	ENSG00000181274
LBW242	LOC100506174
LBW242	ENSG00000221818
LBW242	ENSG00000169418
LBW242	ENSG00000170962
LBW242	ENSG00000136758
LBW242	ENSG00000084112
LBW242	LOC723809
LBW242	ENSG00000099308
LBW242	ENSG00000114698
LBW242	LRG_727
LBW242	ENSG00000092010
LBW242	ENSG00000137449
LBW242	ENSG00000206072
LBW242	ENSG00000115504
LBW242	ENSG00000108021
LBW242	ENSG00000148773
LBW242	ENSG00000215644
LBW242	ENSG00000100461
LBW242	ENSG00000157150
LBW242	ENSG00000117461
LBW242	ENSG00000196616
LBW242	ENSG00000107317
LBW242	ENSG00000170775
LBW242	ENSG00000119669
LBW242	ENSG00000047056
LBW242	ENSG00000185220
LBW242	ENSG00000162066
LBW242	ENSG00000170234
LBW242	ENSG00000074803
LBW242	ENSG00000160551
LBW242	ENSG00000144681
LBW242	ENSG00000106688
LBW242	ENSG00000126778
LBW242	LOC100505716
LBW242	ENSG00000115596
LBW242	ENSG00000100191
LBW242	ENSG00000086504
LBW242	ENSG00000119927
LBW242	ENSG00000150636
LBW242	ENSG00000101842
LBW242	ENSG00000128918
LBW242	ENSG00000171940
LBW242	ENSG00000127252
LBW242	LOC100507109
LBW242	ENSG00000121871
LBW242	ENSG00000111726
LBW242	ENSG00000124134
LBW242	ENSG00000170873
LBW242	ENSG00000172318
LBW242	ENSG00000089177
LBW242	ENSG00000131591
LBW242	ENSG00000167968
LBW242	ENSG00000258484
LBW242	ENSG00000133794
LBW242	ENSG00000170955
LBW242	ENSG00000037749
LBW242	ENSG00000131055
LBW242	ENSG00000146540
LBW242	ENSG00000243449
LBW242	NT5C3
LBW242	ENSG00000156194
LBW242	ENSG00000145975
LBW242	ENSG00000175567
LBW242	ENSG00000188677
LBW242	ENSG00000151532
LBW242	ENSG00000186474
LBW242	ENSG00000214381
LBW242	ENSG00000133639
