Response	Gene ENSEMBL ID
Lapatinib	ENSG00000157191
Lapatinib	ENSG00000100033
Lapatinib	ENSG00000155974
Lapatinib	ENSG00000079691
Lapatinib	ENSG00000117748
Lapatinib	ENSG00000197965
Lapatinib	ENSG00000163053
Lapatinib	ENSG00000173614
Lapatinib	ENSG00000134538
Lapatinib	ENSG00000126822
Lapatinib	ENSG00000133401
Lapatinib	ENSG00000132849
Lapatinib	C17orf39
Lapatinib	ENSG00000159247
Lapatinib	ENSG00000111907
Lapatinib	ENSG00000115884
Lapatinib	ENSG00000157181
Lapatinib	ENSG00000117632
Lapatinib	LRG_621
Lapatinib	ENSG00000147676
Lapatinib	ENSG00000102078
Lapatinib	ENSG00000078369
Lapatinib	ENSG00000169242
Lapatinib	ENSG00000141934
Lapatinib	ENSG00000010295
Lapatinib	ENSG00000130702
Lapatinib	ENSG00000109220
Lapatinib	CTSL2
Lapatinib	ENSG00000143443
Lapatinib	ENSG00000161395
Lapatinib	ENSG00000070831
Lapatinib	ENSG00000237517
Lapatinib	ENSG00000062038
Lapatinib	ENSG00000173715
Lapatinib	ENSG00000162105
Lapatinib	ENSG00000151092
Lapatinib	ENSG00000205420
Lapatinib	ENSG00000133019
Lapatinib	ENSG00000116819
Lapatinib	ENSG00000125850
Lapatinib	C1orf38
Lapatinib	ENSG00000167550
Lapatinib	ENSG00000141736
Lapatinib	ENSG00000102554
Lapatinib	ENSG00000137842
Lapatinib	ENSG00000173320
Lapatinib	ENSG00000123836
Lapatinib	ENSG00000184916
Lapatinib	ENSG00000121851
Lapatinib	ENSG00000090686
Lapatinib	ENSG00000186847
Lapatinib	ENSG00000065320
Lapatinib	ENSG00000171109
Lapatinib	ENSG00000116685
Lapatinib	ENSG00000066468
Lapatinib	ENSG00000174799
Lapatinib	ENSG00000086544
Lapatinib	ENSG00000156509
Lapatinib	ENSG00000129354
Lapatinib	ENSG00000170561
Lapatinib	C21orf56
Lapatinib	ENSG00000143368
Lapatinib	ENSG00000160050
Lapatinib	ENSG00000187164
Lapatinib	ENSG00000130764
Lapatinib	ENSG00000137975
Lapatinib	ENSG00000104892
Lapatinib	ENSG00000092020
Lapatinib	ENSG00000074211
Lapatinib	ENSG00000101882
Lapatinib	ENSG00000117595
Lapatinib	ENSG00000089356
Lapatinib	ENSG00000158769
Lapatinib	ENSG00000166145
Lapatinib	ENSG00000116670
