Response	Gene ENSEMBL ID
PLX4720	ENSG00000179104
PLX4720	ENSG00000065371
PLX4720	FLJ14107
PLX4720	ENSG00000121766
PLX4720	ENSG00000125870
PLX4720	ENSG00000111371
PLX4720	ENSG00000160307
PLX4720	ENSG00000179388
PLX4720	ENSG00000005513
PLX4720	ENSG00000154277
PLX4720	ENSG00000136160
PLX4720	ENSG00000123560
PLX4720	ENSG00000187068
PLX4720	ENSG00000185634
PLX4720	ENSG00000180318
PLX4720	ENSG00000146416
PLX4720	ENSG00000132694
PLX4720	ENSG00000002822
PLX4720	ENSG00000173546
PLX4720	ENSG00000125827
PLX4720	ENSG00000120054
PLX4720	LRG_271
PLX4720	ENSG00000028203
PLX4720	ENSG00000172315
PLX4720	RPL23AP32
PLX4720	ENSG00000116667
PLX4720	ENSG00000147439
PLX4720	ENSG00000118113
PLX4720	ENSG00000164620
PLX4720	ENSG00000189058
PLX4720	ENSG00000146122
PLX4720	ENSG00000110756
PLX4720	ENSG00000102575
PLX4720	ENSG00000156219
PLX4720	ENSG00000114268
PLX4720	ENSG00000118322
PLX4720	ENSG00000188662
PLX4720	ENSG00000182287
PLX4720	ENSG00000128524
PLX4720	ENSG00000143171
PLX4720	ENSG00000080166
PLX4720	ENSG00000135838
PLX4720	ENSG00000231023
PLX4720	ENSG00000007237
PLX4720	ENSG00000154493
PLX4720	ENSG00000172765
PLX4720	SPRYD5
PLX4720	ENSG00000100994
PLX4720	ENSG00000232977
PLX4720	ENSG00000101695
PLX4720	ENSG00000182118
PLX4720	ENSG00000076641
PLX4720	ENSG00000120215
PLX4720	ENSG00000158092
PLX4720	ENSG00000188906
PLX4720	ENSG00000092758
PLX4720	ENSG00000177150
PLX4720	ENSG00000148498
PLX4720	ENSG00000211445
PLX4720	ENSG00000144589
PLX4720	ENSG00000124155
PLX4720	ENSG00000183615
PLX4720	ENSG00000169554
PLX4720	ENSG00000145247
PLX4720	AGXT2L2
PLX4720	ENSG00000105679
PLX4720	ENSG00000196792
PLX4720	ENSG00000145040
PLX4720	ENSG00000116918
PLX4720	ENSG00000084623
PLX4720	ENSG00000106013
PLX4720	ENSG00000164434
PLX4720	ENSG00000116525
PLX4720	ENSG00000008517
PLX4720	ENSG00000128564
PLX4720	ENSG00000092529
PLX4720	ENSG00000147180
PLX4720	ENSG00000110031
PLX4720	ENSG00000121440
PLX4720	ENSG00000134470
PLX4720	ENSG00000185664
PLX4720	ENSG00000189159
PLX4720	C20orf72
PLX4720	ENSG00000266028
PLX4720	ENSG00000196376
PLX4720	ENSG00000077498
PLX4720	ENSG00000130707
PLX4720	ENSG00000135903
PLX4720	ENSG00000144355
PLX4720	ENSG00000163932
PLX4720	ENSG00000101680
PLX4720	ENSG00000161091
PLX4720	ENSG00000198964
PLX4720	ENSG00000070759
PLX4720	ENSG00000163081
PLX4720	ENSG00000126785
PLX4720	ENSG00000162512
PLX4720	ENSG00000099995
PLX4720	ENSG00000163093
PLX4720	ENSG00000145335
PLX4720	ENSG00000137558
PLX4720	ENSG00000136758
