Response	Gene ENSEMBL ID
RAF265	ENSG00000146083
RAF265	ENSG00000129514
RAF265	ENSG00000149809
RAF265	ENSG00000140553
RAF265	ENSG00000099204
RAF265	ENSG00000172123
RAF265	LRG_621
RAF265	C17orf28
RAF265	ENSG00000133056
RAF265	ENSG00000112769
RAF265	ENSG00000128833
RAF265	ENSG00000160190
RAF265	ENSG00000143578
RAF265	ENSG00000130768
RAF265	ENSG00000158106
RAF265	ENSG00000143543
RAF265	ENSG00000100243
RAF265	ENSG00000106991
RAF265	ENSG00000105325
RAF265	ENSG00000164855
RAF265	ENSG00000172602
RAF265	ENSG00000213614
RAF265	ENSG00000070729
RAF265	ENSG00000100422
RAF265	C9orf7
RAF265	ENSG00000073350
RAF265	ENSG00000143369
RAF265	ENSG00000086548
RAF265	ENSG00000174306
RAF265	ENSG00000166333
RAF265	ENSG00000121766
RAF265	ENSG00000183853
RAF265	ENSG00000196670
RAF265	ENSG00000142227
RAF265	ENSG00000197147
RAF265	ENSG00000185088
RAF265	ENSG00000161091
RAF265	ENSG00000142686
RAF265	ENSG00000089682
RAF265	ENSG00000154639
RAF265	ENSG00000197891
RAF265	ENSG00000150527
RAF265	ENSG00000160183
RAF265	ENSG00000104331
RAF265	ENSG00000131979
RAF265	ENSG00000111450
RAF265	ENSG00000143303
RAF265	ENSG00000179627
RAF265	ENSG00000111863
RAF265	ENSG00000165591
RAF265	ENSG00000143375
RAF265	ENSG00000101438
RAF265	ENSG00000165929
RAF265	ENSG00000106541
RAF265	ENSG00000114353
RAF265	ENSG00000128829
RAF265	ENSG00000249992
RAF265	ENSG00000163435
RAF265	ENSG00000118515
RAF265	ENSG00000136859
RAF265	ENSG00000124406
RAF265	ENSG00000175573
RAF265	ENSG00000170955
RAF265	ENSG00000126785
RAF265	ENSG00000127328
RAF265	ENSG00000125912
RAF265	ENSG00000133740
RAF265	ENSG00000100234
RAF265	ENSG00000162069
RAF265	ENSG00000105227
RAF265	ENSG00000188206
RAF265	ENSG00000125457
RAF265	ENSG00000088836
RAF265	LEPRE1
RAF265	ENSG00000010295
RAF265	ENSG00000141905
RAF265	ENSG00000143850
RAF265	ENSG00000133985
RAF265	ENSG00000067798
RAF265	ENSG00000174514
RAF265	ENSG00000103528
RAF265	ENSG00000174373
RAF265	ENSG00000185658
RAF265	ENSG00000070669
RAF265	ENSG00000205808
RAF265	ENSG00000167671
RAF265	ENSG00000155254
RAF265	ENSG00000156103
RAF265	ENSG00000054179
RAF265	ENSG00000185499
RAF265	C14orf129
RAF265	ENSG00000157227
RAF265	ENSG00000280477
RAF265	FLJ35424
RAF265	C19orf10
RAF265	C1orf144
RAF265	ENSG00000152291
RAF265	LOC344595
RAF265	ENSG00000168779
RAF265	KIAA0182
RAF265	ENSG00000085433
RAF265	ENSG00000158158
RAF265	ENSG00000095627
RAF265	ENSG00000262599
RAF265	LOC100505963
RAF265	ENSG00000163453
RAF265	ENSG00000041880
RAF265	ENSG00000167642
RAF265	ENSG00000231624
RAF265	ENSG00000001084
RAF265	ENSG00000143786
RAF265	ENSG00000107819
RAF265	ENSG00000154734
RAF265	LOC100130776
RAF265	ENSG00000115616
RAF265	ENSG00000108639
RAF265	ENSG00000072958
RAF265	ENSG00000135919
RAF265	LRG_401
RAF265	ENSG00000136732
RAF265	ENSG00000189143
RAF265	ENSG00000102891
RAF265	ENSG00000166295
RAF265	ENSG00000168878
RAF265	ENSG00000011347
RAF265	ENSG00000072858
RAF265	ENSG00000162733
RAF265	ENSG00000076554
RAF265	ENSG00000115318
RAF265	ENSG00000179178
RAF265	ENSG00000167037
RAF265	ENSG00000160685
RAF265	ENSG00000113140
RAF265	ENSG00000165215
RAF265	ENSG00000230467
RAF265	LOC100507314
RAF265	ENSG00000137709
RAF265	ENSG00000074855
RAF265	ENSG00000185634
RAF265	ENSG00000215560
RAF265	ENSG00000124664
RAF265	ENSG00000183580
RAF265	ENSG00000111319
RAF265	ENSG00000152223
RAF265	C1orf212
RAF265	LOC375295
RAF265	ENSG00000131503
RAF265	ENSG00000182667
