Response	Gene ENSEMBL ID
TKI258	LOC100506797
TKI258	ENSG00000136868
TKI258	ENSG00000170965
TKI258	ENSG00000196724
TKI258	ENSG00000138674
TKI258	ENSG00000147872
TKI258	FLJ39639
TKI258	ENSG00000198443
TKI258	ENSG00000135373
TKI258	ENSG00000119509
TKI258	ENSG00000145860
TKI258	ENSG00000102796
TKI258	ENSG00000084093
TKI258	ENSG00000145555
TKI258	ENSG00000091106
TKI258	ENSG00000170954
TKI258	ENSG00000277943
TKI258	ENSG00000174132
TKI258	ENSG00000089177
TKI258	ENSG00000108511
TKI258	ENSG00000101224
TKI258	LOC100507511
TKI258	ENSG00000147862
TKI258	ENSG00000185069
TKI258	ENSG00000125245
TKI258	ENSG00000171862
TKI258	ENSG00000102755
TKI258	ENSG00000257017
TKI258	LRG_211
TKI258	ENSG00000130962
TKI258	ENSG00000011638
TKI258	ENSG00000131015
TKI258	LOC100128176
TKI258	ENSG00000211796
TKI258	ENSG00000139182
TKI258	ENSG00000135018
TKI258	ENSG00000104938
TKI258	ENSG00000116017
TKI258	ENSG00000119547
TKI258	ENSG00000138071
TKI258	ENSG00000186532
TKI258	ENSG00000112305
TKI258	ENSG00000121413
TKI258	ENSG00000123342
TKI258	ENSG00000137713
TKI258	FLJ32154
TKI258	ENSG00000085721
TKI258	LINC00277
TKI258	ENSG00000246922
TKI258	ENSG00000242950
TKI258	ENSG00000113763
TKI258	ENSG00000148187
TKI258	ENSG00000144712
TKI258	ENSG00000106415
TKI258	SIGLECP3
TKI258	ENSG00000153347
TKI258	ENSG00000144401
TKI258	ENSG00000180176
TKI258	ENSG00000198885
TKI258	ENSG00000106992
TKI258	ENSG00000130037
TKI258	ENSG00000067900
TKI258	ENSG00000165076
TKI258	ENSG00000146147
TKI258	ENSG00000160472
TKI258	ENSG00000066422
TKI258	LRG_643
TKI258	C5orf54
TKI258	ENSG00000113194
TKI258	ENSG00000214922
TKI258	ENSG00000182224
TKI258	ENSG00000137073
TKI258	ENSG00000183801
TKI258	ENSG00000126353
TKI258	ENSG00000120075
TKI258	ENSG00000141376
TKI258	ENSG00000109320
TKI258	ENSG00000174448
TKI258	ENSG00000185736
TKI258	ENSG00000120053
TKI258	ENSG00000123240
TKI258	ENSG00000071894
TKI258	ENSG00000146731
TKI258	ENSG00000125834
TKI258	ENSG00000123933
TKI258	ENSG00000148346
TKI258	ENSG00000198838
TKI258	ENSG00000107317
TKI258	ENSG00000109381
TKI258	ENSG00000162040
TKI258	ENSG00000004961
TKI258	ENSG00000106829
TKI258	ENSG00000073008
TKI258	ENSG00000119771
TKI258	ENSG00000049089
TKI258	ENSG00000126226
TKI258	ENSG00000152518
TKI258	ENSG00000172638
TKI258	ENSG00000149485
TKI258	ENSG00000158786
TKI258	ENSG00000134851
TKI258	ENSG00000173531
TKI258	ENSG00000184588
TKI258	ENSG00000132471
TKI258	ENSG00000177138
TKI258	ENSG00000149577
TKI258	ENSG00000130332
TKI258	ENSG00000090554
TKI258	LOC100288432
TKI258	ENSG00000184937
TKI258	ENSG00000151500
TKI258	ENSG00000077327
TKI258	ENSG00000132972
TKI258	PEG3-AS1
TKI258	ENSG00000172977
TKI258	ENSG00000143631
TKI258	ENSG00000176293
TKI258	ENSG00000004660
TKI258	ENSG00000174944
TKI258	ENSG00000130734
TKI258	ENSG00000125901
TKI258	ENSG00000119328
TKI258	MGC15705
TKI258	ENSG00000187922
TKI258	ENSG00000172594
TKI258	BRD7P3
TKI258	ENSG00000160973
TKI258	ENSG00000148337
TKI258	ENSG00000135773
TKI258	ENSG00000165970
TKI258	LOC100287558
TKI258	ENSG00000159685
TKI258	ENSG00000204897
TKI258	ENSG00000171204
TKI258	ENSG00000009790
TKI258	ENSG00000060982
TKI258	ENSG00000071242
TKI258	ENSG00000132274
TKI258	C20orf7
TKI258	ENSG00000122970
TKI258	ENSG00000171522
TKI258	ENSG00000131778
TKI258	ENSG00000174628
TKI258	ENSG00000119421
TKI258	ENSG00000274538
TKI258	ENSG00000054277
TKI258	ENSG00000204248
TKI258	ENSG00000227418
TKI258	ENSG00000184647
TKI258	ENSG00000140459
TKI258	LRG_460
TKI258	ENSG00000153391
TKI258	ENSG00000061676
TKI258	LOC100507213
TKI258	ENSG00000145723
TKI258	ENSG00000203857
TKI258	ENSG00000115657
TKI258	ENSG00000111684
TKI258	ENSG00000055732
TKI258	ENSG00000185518
TKI258	FLJ43390
TKI258	ENSG00000141582
TKI258	ENSG00000131507
TKI258	ENSG00000164305
TKI258	ENSG00000129566
TKI258	ENSG00000183035
TKI258	ENSG00000139223
TKI258	ENSG00000180549
TKI258	ENSG00000182132
TKI258	ENSG00000157224
TKI258	ENSG00000135124
TKI258	ENSG00000070019
TKI258	ENSG00000196387
TKI258	ENSG00000100122
TKI258	ENSG00000197475
TKI258	ENSG00000101752
TKI258	ENSG00000033178
TKI258	ENSG00000130755
TKI258	ENSG00000257341
TKI258	ENSG00000198300
TKI258	ENSG00000134779
TKI258	ENSG00000170075
TKI258	ENSG00000125812
TKI258	LOC150381
TKI258	FAM123B
TKI258	ENSG00000124253
TKI258	LOC1720
TKI258	ENSG00000153923
TKI258	ENSG00000136935
TKI258	ENSG00000197056
TKI258	ENSG00000188056
TKI258	ENSG00000274454
TKI258	ENSG00000166825
TKI258	ENSG00000139144
TKI258	LOC100128881
TKI258	ENSG00000223518
TKI258	LOC100507009
TKI258	ENSG00000136999
TKI258	ENSG00000134827
TKI258	ENSG00000073861
TKI258	ENSG00000016082
TKI258	ENSG00000101290
TKI258	ENSG00000115233
TKI258	ENSG00000214113
TKI258	ENSG00000150051
TKI258	ENSG00000141198
TKI258	DEM1
TKI258	ENSG00000124224
TKI258	ENSG00000100095
TKI258	ENSG00000132002
TKI258	ENSG00000112855
TKI258	ENSG00000125533
TKI258	ENSG00000169155
TKI258	LOC100128252
TKI258	ENSG00000118903
TKI258	ENSG00000278373
TKI258	ENSG00000162086
TKI258	ENSG00000155868
TKI258	C20orf20
TKI258	ENSG00000164172
TKI258	ENSG00000154721
TKI258	ENSG00000070495
TKI258	LRG_101
TKI258	ENSG00000081052
TKI258	ENSG00000241224
TKI258	ENSG00000147003
TKI258	EMID2
TKI258	ENSG00000167995
TKI258	ENSG00000164180
TKI258	ENSG00000176927
TKI258	ENSG00000152684
TKI258	ENSG00000127804
TKI258	ENSG00000148444
TKI258	ENSG00000213005
TKI258	LOC553103
TKI258	ENSG00000166743
TKI258	LOC440704
TKI258	ENSG00000160593
TKI258	ENSG00000177025
TKI258	ENSG00000149639
TKI258	CENPC1
TKI258	ENSG00000122574
TKI258	ENSG00000169413
TKI258	ENSG00000175535
TKI258	ENSG00000115607
TKI258	ENSG00000185100
TKI258	ENSG00000177683
TKI258	ENSG00000189132
TKI258	ENSG00000189182
TKI258	ENSG00000204001
TKI258	ENSG00000143195
TKI258	ENSG00000157214
TKI258	ENSG00000128298
TKI258	ENSG00000116329
TKI258	ENSG00000170445
TKI258	ENSG00000165630
TKI258	ENSG00000111700
TKI258	ENSG00000281024
