Response	Gene ENSEMBL ID
Topotecan	ENSG00000172716
Topotecan	ENSG00000176390
Topotecan	ENSG00000134748
Topotecan	ENSG00000085840
Topotecan	ENSG00000156261
Topotecan	ENSG00000119640
Topotecan	ENSG00000025156
Topotecan	ENSG00000092470
Topotecan	ENSG00000149136
Topotecan	ENSG00000123737
Topotecan	ENSG00000142856
Topotecan	ENSG00000116560
Topotecan	ENSG00000100523
Topotecan	ENSG00000145041
Topotecan	ENSG00000121211
Topotecan	ENSG00000111605
Topotecan	ENSG00000119397
Topotecan	ENSG00000128951
Topotecan	ENSG00000099783
Topotecan	ENSG00000138463
Topotecan	ENSG00000109805
Topotecan	ENSG00000213390
Topotecan	ENSG00000156970
Topotecan	ENSG00000142864
Topotecan	ENSG00000071994
Topotecan	ENSG00000111364
Topotecan	ENSG00000164104
Topotecan	ENSG00000117133
Topotecan	ENSG00000154274
Topotecan	ENSG00000115053
Topotecan	ENSG00000152137
Topotecan	ENSG00000120802
Topotecan	ENSG00000168938
Topotecan	ENSG00000140451
Topotecan	ENSG00000000003
Topotecan	ENSG00000161847
Topotecan	ENSG00000125944
Topotecan	ENSG00000183431
Topotecan	ENSG00000137801
Topotecan	ENSG00000123136
Topotecan	ENSG00000159055
Topotecan	ENSG00000092199
Topotecan	ENSG00000143942
Topotecan	ENSG00000148835
Topotecan	ENSG00000155189
Topotecan	ENSG00000103196
Topotecan	ENSG00000156509
Topotecan	ENSG00000146072
Topotecan	ENSG00000141384
Topotecan	ENSG00000163808
Topotecan	ENSG00000129347
Topotecan	ENSG00000165060
Topotecan	ENSG00000168890
Topotecan	ENSG00000104885
Topotecan	ENSG00000244242
Topotecan	ENSG00000186594
Topotecan	ENSG00000096696
Topotecan	ENSG00000077312
Topotecan	ENSG00000071626
Topotecan	ENSG00000039123
Topotecan	ENSG00000109674
Topotecan	ENSG00000103995
Topotecan	ENSG00000162419
Topotecan	ENSG00000130254
Topotecan	ENSG00000079246
Topotecan	ENSG00000154727
Topotecan	ENSG00000156876
Topotecan	ENSG00000114019
Topotecan	ENSG00000155858
Topotecan	ENSG00000129351
Topotecan	ENSG00000138668
Topotecan	ENSG00000066044
Topotecan	ENSG00000066557
Topotecan	ENSG00000146950
Topotecan	ENSG00000029363
Topotecan	ENSG00000125656
Topotecan	ENSG00000187244
Topotecan	ENSG00000135045
Topotecan	ENSG00000185480
Topotecan	ENSG00000143367
