Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score	Percent appearing in restart set
PD-0325901	ENSG00000150991	0.011578372745856356	1.0	0.09669632815286207	0.0
PD-0325901	ENSG00000087245	0.006886980870581458	0.6251241779275823	0.246920024814108	1.0
PD-0325901	ENSG00000138685	0.006734967941132634	0.612977255775737	0.280511571968998	1.0
PD-0325901	ENSG00000136100	0.006658735282062238	0.6068857201510123	-0.31275937893058814	1.0
PD-0325901	ENSG00000168487	0.006243497455870011	0.5737052428880137	0.24368326347807864	1.0
PD-0325901	ENSG00000138448	0.006240220536472972	0.5734433935508684	0.22101005271977872	1.0
PD-0325901	ENSG00000152661	0.006089366244531486	0.5613890548368586	0.2854350601491429	1.0
PD-0325901	ENSG00000024422	0.005954774673278487	0.5506342240192924	0.28004012190058164	1.0
PD-0325901	ENSG00000213694	0.005769901667303342	0.5358615463286506	0.2708249162683704	1.0
PD-0325901	ENSG00000092969	0.005683277638760094	0.5289396658346082	0.25741970818071314	1.0
PD-0325901	ENSG00000063660	0.0056577248710458425	0.5268978166227376	0.2529582347373817	1.0
PD-0325901	ENSG00000111817	0.0056477555698818075	0.5261011980351813	0.26601787932247517	1.0
PD-0325901	ENSG00000157168	0.00552501139195074	0.5162930588240828	0.25898183777773903	1.0
PD-0325901	ENSG00000180340	0.005503755005988439	0.5145945212954013	0.257679865217285	1.0
PD-0325901	ENSG00000132300	0.005485441242597926	0.513131120392475	-0.2579219575500736	1.0
PD-0325901	ENSG00000050165	0.0054587880100462295	0.5110013361558685	0.2573135648496778	1.0
PD-0325901	ENSG00000145431	0.0054445846733682385	0.5098663877962154	0.25417359346621227	1.0
PD-0325901	ENSG00000134363	0.005443311723006134	0.5097646699422953	0.23353068706211128	1.0
PD-0325901	ENSG00000152520	0.005422009912280694	0.5080625026495954	-0.2555360808295366	1.0
PD-0325901	ENSG00000149257	0.005403878186237839	0.5066136478349443	0.25341930082209446	1.0
PD-0325901	ENSG00000120896	0.005382745557126661	0.5049249993653172	0.25277583155372724	1.0
PD-0325901	ENSG00000163430	0.005303514765499886	0.49859389146936994	0.23225550678530205	1.0
PD-0325901	ENSG00000136026	0.005282575104148667	0.49692066250627115	0.247716033481652	1.0
PD-0325901	ENSG00000121289	0.005272083045667848	0.4960822718638355	0.24857815343254758	1.0
PD-0325901	ENSG00000117122	0.005222598124576156	0.4921280721364146	0.24329093315046885	1.0
PD-0325901	ENSG00000204262	0.00521992813664123	0.4919147209714215	0.23590196448654416	1.0
PD-0325901	ENSG00000138135	0.005199711693935258	0.4902992823595411	0.24546637541497637	1.0
PD-0325901	ENSG00000113083	0.005197599203702681	0.49013047925512965	0.23293987844337213	1.0
PD-0325901	ENSG00000196323	0.005185029120533127	0.4891260395521621	-0.24496007074319803	1.0
PD-0325901	ENSG00000059588	0.005168851623897399	0.4878333416681175	-0.24370302719828668	1.0
PD-0325901	ENSG00000127946	0.005159030253308749	0.48704854379337537	0.24295857533760956	1.0
PD-0325901	ENSG00000162458	0.005154533803410774	0.48668924523194107	0.2386236714900907	1.0
PD-0325901	ENSG00000105894	0.005150919584676305	0.4864004432611711	0.2406452930886774	1.0
PD-0325901	ENSG00000171316	0.00514957400423775	0.48629292174378813	-0.2437852396735199	1.0
PD-0325901	ENSG00000141905	0.0051423919416953125	0.48571902349112633	0.24084225593686825	1.0
PD-0325901	ENSG00000113657	0.005134844956286517	0.4851159652869714	0.24200435224043132	1.0
PD-0325901	ENSG00000152377	0.005129436954067777	0.4846838271643378	0.23638952896528329	1.0
PD-0325901	ENSG00000070404	0.005119179190337891	0.48386415835109453	0.23111066464029942	1.0
PD-0325901	ENSG00000237172	0.0051122094368077345	0.4833072251095911	0.2406343764398854	1.0
PD-0325901	ENSG00000157150	0.005110983432174005	0.48320925855570845	0.2327440570025772	1.0
PD-0325901	ENSG00000142871	0.005103660354746432	0.4826240922034304	0.23474320716815042	1.0
PD-0325901	ENSG00000167460	0.005099876935170549	0.48232176987320063	0.23498107665967333	1.0
PD-0325901	ENSG00000130635	0.005095938210883573	0.48200703758388186	0.22388252790193486	1.0
PD-0325901	ENSG00000077782	0.005092873552425349	0.48176214941648043	0.23112676070349936	1.0
PD-0325901	ENSG00000120685	0.005081868002326737	0.48088272711489866	-0.2395968609241709	1.0
PD-0325901	ENSG00000137801	0.005079411518807943	0.48068643648239606	0.21272312635224122	1.0
PD-0325901	ENSG00000255423	0.00506965406638804	0.47990674612727535	-0.23608636938866634	1.0
PD-0325901	ENSG00000177469	0.005058628990073983	0.4790257635411849	0.23780725517687892	1.0
PD-0325901	ENSG00000075618	0.005038952224093453	0.4774534489661537	0.23742260480781613	1.0
PD-0325901	ENSG00000008869	0.005033042202837533	0.47698119592575966	-0.23693362669884183	1.0
PD-0325901	ENSG00000112210	0.0050298756656159144	0.4767281669152578	0.23514013684612797	1.0
PD-0325901	ENSG00000164176	0.004985088157922592	0.47314932417274547	0.22584158309124566	1.0
PD-0325901	ENSG00000135775	0.004927888378997129	0.4685786520317005	-0.22929335587834782	1.0
