Response	Gene ENSEMBL ID
Paclitaxel	ENSG00000102195
Paclitaxel	ENSG00000164113
Paclitaxel	ENSG00000149305
Paclitaxel	ENSG00000103546
Paclitaxel	ENSG00000123454
Paclitaxel	ENSG00000183908
Paclitaxel	ENSG00000115665
Paclitaxel	ENSG00000117971
Paclitaxel	ENSG00000118600
Paclitaxel	ENSG00000168539
Paclitaxel	ENSG00000013293
Paclitaxel	ENSG00000185352
Paclitaxel	ENSG00000134817
Paclitaxel	ENSG00000198010
Paclitaxel	ENSG00000147571
Paclitaxel	ENSG00000168032
Paclitaxel	ENSG00000156689
Paclitaxel	ENSG00000170743
Paclitaxel	ENSG00000080644
Paclitaxel	ENSG00000165462
Paclitaxel	ENSG00000112038
Paclitaxel	ENSG00000142733
Paclitaxel	ENSG00000167723
Paclitaxel	ENSG00000178372
Paclitaxel	ENSG00000162188
Paclitaxel	ENSG00000152207
Paclitaxel	ENSG00000168546
Paclitaxel	ENSG00000185149
Paclitaxel	ENSG00000140538
Paclitaxel	ENSG00000172382
Paclitaxel	ENSG00000206073
Paclitaxel	ENSG00000159784
Paclitaxel	ENSG00000122585
Paclitaxel	ENSG00000141255
Paclitaxel	ENSG00000166736
Paclitaxel	ENSG00000015592
Paclitaxel	ENSG00000146469
Paclitaxel	ENSG00000166407
Paclitaxel	ENSG00000129009
Paclitaxel	ENSG00000186160
Paclitaxel	ENSG00000117016
Paclitaxel	ENSG00000078549
Paclitaxel	ENSG00000087258
Paclitaxel	ENSG00000113196
Paclitaxel	ENSG00000185559
Paclitaxel	ENSG00000187908
Paclitaxel	ENSG00000170091
Paclitaxel	ENSG00000206384
Paclitaxel	ENSG00000165794
Paclitaxel	ENSG00000130226
Paclitaxel	ENSG00000167037
Paclitaxel	ENSG00000159640
Paclitaxel	ENSG00000166863
Paclitaxel	ENSG00000180616
Paclitaxel	ENSG00000058335
Paclitaxel	ENSG00000162374
Paclitaxel	ENSG00000143595
Paclitaxel	ENSG00000156253
Paclitaxel	ENSG00000198028
Paclitaxel	ENSG00000164107
Paclitaxel	ENSG00000115297
Paclitaxel	ENSG00000070729
Paclitaxel	ENSG00000167654
Paclitaxel	ENSG00000163497
Paclitaxel	ENSG00000159409
Paclitaxel	ENSG00000170458
Paclitaxel	ENSG00000110696
Paclitaxel	ENSG00000128285
Paclitaxel	ENSG00000057149
Paclitaxel	ENSG00000073803
Paclitaxel	ENSG00000181541
Paclitaxel	ENSG00000122756
Paclitaxel	ENSG00000101098
Paclitaxel	ENSG00000134533
Paclitaxel	ENSG00000168522
Paclitaxel	ENSG00000085563
Paclitaxel	ENSG00000188257
Paclitaxel	ENSG00000135472
Paclitaxel	ENSG00000254585
Paclitaxel	ENSG00000182168
Paclitaxel	ENSG00000036565
Paclitaxel	ENSG00000172020
Paclitaxel	ENSG00000170011
Paclitaxel	ENSG00000125691
Paclitaxel	ENSG00000065609
Paclitaxel	ENSG00000214107
Paclitaxel	ENSG00000152954
Paclitaxel	ENSG00000204628
Paclitaxel	ENSG00000100865
Paclitaxel	ENSG00000121351
Paclitaxel	ENSG00000175093
Paclitaxel	ENSG00000117598
Paclitaxel	ENSG00000188037
Paclitaxel	ENSG00000196517
Paclitaxel	ENSG00000136842
Paclitaxel	ENSG00000143452
Paclitaxel	ENSG00000148450
Paclitaxel	ENSG00000183258
Paclitaxel	ENSG00000137709
Paclitaxel	ENSG00000152092
Paclitaxel	ENSG00000181773
Paclitaxel	ENSG00000176406
Paclitaxel	ENSG00000178921
Paclitaxel	ENSG00000165806
Paclitaxel	ENSG00000072315
Paclitaxel	ENSG00000137486
Paclitaxel	ENSG00000173198
Paclitaxel	ENSG00000168621
Paclitaxel	ENSG00000171119
Paclitaxel	ENSG00000135617
Paclitaxel	ENSG00000205726
Paclitaxel	ENSG00000127955
Paclitaxel	ENSG00000163781
Paclitaxel	ENSG00000133302
Paclitaxel	ENSG00000135250
Paclitaxel	ENSG00000177425
Paclitaxel	ENSG00000106113
Paclitaxel	ENSG00000164266
Paclitaxel	ENSG00000075711
Paclitaxel	ENSG00000105223
Paclitaxel	ENSG00000166428
Paclitaxel	ENSG00000180287
Paclitaxel	ENSG00000198668
Paclitaxel	ENSG00000141433
Paclitaxel	ENSG00000135018
Paclitaxel	ENSG00000167515
Paclitaxel	ENSG00000096063
Paclitaxel	ENSG00000136146
Paclitaxel	ENSG00000069869
Paclitaxel	ENSG00000188517
Paclitaxel	ENSG00000198932
Paclitaxel	ENSG00000154222
Paclitaxel	ENSG00000132024
Paclitaxel	ENSG00000106089
Paclitaxel	ENSG00000100902
Paclitaxel	ENSG00000102977
Paclitaxel	ENSG00000092330
Paclitaxel	ENSG00000145335
Paclitaxel	ENSG00000141480
Paclitaxel	ENSG00000169684
Paclitaxel	ENSG00000065135
Paclitaxel	ENSG00000101204
Paclitaxel	ENSG00000075073
Paclitaxel	ENSG00000172530
Paclitaxel	ENSG00000131096
Paclitaxel	ENSG00000127022
Paclitaxel	ENSG00000154611
Paclitaxel	ENSG00000169836
Paclitaxel	ENSG00000101182
Paclitaxel	ENSG00000188603
Paclitaxel	ENSG00000096717
Paclitaxel	ENSG00000044574
Paclitaxel	ENSG00000147378
Paclitaxel	ENSG00000120903
Paclitaxel	ENSG00000128513
Paclitaxel	ENSG00000183395
Paclitaxel	ENSG00000105974
Paclitaxel	ENSG00000143933
Paclitaxel	ENSG00000103266
Paclitaxel	ENSG00000114353
Paclitaxel	ENSG00000115353
Paclitaxel	ENSG00000068903
Paclitaxel	ENSG00000166167
Paclitaxel	ENSG00000133661
Paclitaxel	ENSG00000151892
Paclitaxel	ENSG00000131508
Paclitaxel	ENSG00000214415
Paclitaxel	ENSG00000198515
Paclitaxel	ENSG00000069966
Paclitaxel	ENSG00000114450
Paclitaxel	ENSG00000168412
Paclitaxel	ENSG00000165724
Paclitaxel	ENSG00000100151
Paclitaxel	ENSG00000134640
Paclitaxel	ENSG00000172354
Paclitaxel	ENSG00000072062
Paclitaxel	ENSG00000130222
Paclitaxel	ENSG00000159788
Paclitaxel	ENSG00000163131
Paclitaxel	ENSG00000135744
Paclitaxel	ENSG00000168071
Paclitaxel	ENSG00000112619
Paclitaxel	ENSG00000062725
Paclitaxel	ENSG00000160710
Paclitaxel	ENSG00000125148
Paclitaxel	ENSG00000198691
Paclitaxel	ENSG00000156234
Paclitaxel	ENSG00000078098
Paclitaxel	ENSG00000154229
Paclitaxel	ENSG00000197635
Paclitaxel	ENSG00000114812
Paclitaxel	ENSG00000180938
Paclitaxel	ENSG00000105568
Paclitaxel	ENSG00000175348
Paclitaxel	ENSG00000176903
Paclitaxel	ENSG00000112818
Paclitaxel	ENSG00000107643
Paclitaxel	ENSG00000079335
Paclitaxel	ENSG00000179841
Paclitaxel	ENSG00000161681
Paclitaxel	ENSG00000177606
Paclitaxel	ENSG00000196689
Paclitaxel	ENSG00000198356
Paclitaxel	ENSG00000132639
Paclitaxel	ENSG00000137474
Paclitaxel	ENSG00000137845
Paclitaxel	ENSG00000177138
Paclitaxel	ENSG00000150636
