Response	Gene ENSEMBL ID
RAF265	ENSG00000140553
RAF265	ENSG00000129514
RAF265	ENSG00000137709
RAF265	ENSG00000111863
RAF265	ENSG00000168878
RAF265	ENSG00000149809
RAF265	ENSG00000213614
RAF265	ENSG00000146083
RAF265	ENSG00000070729
RAF265	ENSG00000121766
RAF265	ENSG00000136859
RAF265	ENSG00000100234
RAF265	ENSG00000228474
RAF265	ENSG00000128833
RAF265	ENSG00000129595
RAF265	ENSG00000109089
RAF265	ENSG00000129988
RAF265	ENSG00000158158
RAF265	ENSG00000158106
RAF265	ENSG00000108639
RAF265	ENSG00000161395
RAF265	ENSG00000185088
RAF265	ENSG00000100243
RAF265	ENSG00000100387
RAF265	ENSG00000181991
RAF265	ENSG00000105325
RAF265	ENSG00000100422
RAF265	ENSG00000160190
RAF265	ENSG00000160183
RAF265	ENSG00000130768
RAF265	ENSG00000197891
RAF265	ENSG00000170043
RAF265	ENSG00000167767
RAF265	ENSG00000100056
RAF265	ENSG00000181444
RAF265	ENSG00000089682
RAF265	ENSG00000074855
RAF265	ENSG00000166471
RAF265	ENSG00000064042
RAF265	ENSG00000100142
RAF265	ENSG00000239521
RAF265	ENSG00000134258
RAF265	ENSG00000164458
RAF265	ENSG00000156103
RAF265	ENSG00000188706
RAF265	ENSG00000172260
RAF265	ENSG00000027075
RAF265	ENSG00000168779
RAF265	ENSG00000143127
RAF265	ENSG00000070669
RAF265	ENSG00000126067
RAF265	ENSG00000142686
RAF265	ENSG00000174640
RAF265	ENSG00000056277
RAF265	ENSG00000205808
RAF265	ENSG00000124664
RAF265	ENSG00000088836
RAF265	ENSG00000108590
RAF265	ENSG00000041880
RAF265	ENSG00000148346
RAF265	ENSG00000163083
RAF265	ENSG00000120659
RAF265	ENSG00000141738
RAF265	ENSG00000184056
RAF265	ENSG00000143786
RAF265	ENSG00000180667
RAF265	ENSG00000160685
RAF265	ENSG00000165929
RAF265	ENSG00000178974
RAF265	ENSG00000130300
RAF265	ENSG00000111450
RAF265	ENSG00000138698
RAF265	ENSG00000170477
RAF265	ENSG00000170961
RAF265	ENSG00000177370
RAF265	ENSG00000198795
RAF265	ENSG00000167671
RAF265	ENSG00000065060
RAF265	ENSG00000143578
RAF265	ENSG00000089351
RAF265	ENSG00000110906
RAF265	ENSG00000010295
RAF265	ENSG00000150527
RAF265	ENSG00000119487
RAF265	ENSG00000178573
RAF265	ENSG00000130649
RAF265	ENSG00000126785
RAF265	ENSG00000001084
RAF265	ENSG00000196670
RAF265	ENSG00000176945
RAF265	ENSG00000172379
RAF265	ENSG00000095627
RAF265	ENSG00000144724
RAF265	ENSG00000012232
RAF265	ENSG00000073350
RAF265	ENSG00000135373
RAF265	ENSG00000170442
RAF265	ENSG00000182022
RAF265	ENSG00000197147
RAF265	ENSG00000196396
RAF265	ENSG00000177885
RAF265	ENSG00000103811
RAF265	ENSG00000186265
RAF265	ENSG00000135473
RAF265	ENSG00000099250
RAF265	ENSG00000160307
RAF265	ENSG00000175792
RAF265	ENSG00000183207
RAF265	ENSG00000119915
RAF265	ENSG00000136872
RAF265	ENSG00000135250
RAF265	ENSG00000096063
RAF265	ENSG00000171346
RAF265	ENSG00000117143
RAF265	ENSG00000197355
RAF265	ENSG00000141736
RAF265	ENSG00000168077
RAF265	ENSG00000198515
RAF265	ENSG00000167034
RAF265	ENSG00000175602
RAF265	ENSG00000134910
RAF265	ENSG00000147378
RAF265	ENSG00000184672
RAF265	ENSG00000100985
RAF265	ENSG00000170498
RAF265	ENSG00000163902
RAF265	ENSG00000112619
RAF265	ENSG00000182667
RAF265	ENSG00000106803
RAF265	ENSG00000087245
RAF265	ENSG00000198691
RAF265	ENSG00000185565
RAF265	ENSG00000025039
RAF265	ENSG00000101336
RAF265	ENSG00000170458
RAF265	ENSG00000123384
RAF265	ENSG00000072818
RAF265	ENSG00000117139
RAF265	ENSG00000106511
RAF265	ENSG00000134970
RAF265	ENSG00000254087
RAF265	ENSG00000116750
RAF265	ENSG00000197386
RAF265	ENSG00000129214
RAF265	ENSG00000157873
RAF265	ENSG00000132563
RAF265	ENSG00000125398
RAF265	ENSG00000168818
RAF265	ENSG00000107175
RAF265	ENSG00000085832
RAF265	ENSG00000183715
RAF265	ENSG00000127399
RAF265	ENSG00000167769
RAF265	ENSG00000067715
RAF265	ENSG00000169083
RAF265	ENSG00000005339
RAF265	ENSG00000169764
RAF265	ENSG00000151694
RAF265	ENSG00000171858
RAF265	ENSG00000184207
