Response	Gene ENSEMBL ID
TAE684	ENSG00000005884
TAE684	ENSG00000164294
TAE684	ENSG00000105974
TAE684	ENSG00000214063
TAE684	ENSG00000138119
TAE684	ENSG00000172380
TAE684	ENSG00000104368
TAE684	ENSG00000073711
TAE684	ENSG00000006327
TAE684	ENSG00000018408
TAE684	ENSG00000082781
TAE684	ENSG00000177697
TAE684	ENSG00000177469
TAE684	ENSG00000198625
TAE684	ENSG00000011426
TAE684	ENSG00000152104
TAE684	ENSG00000168615
TAE684	ENSG00000137693
TAE684	ENSG00000039523
TAE684	ENSG00000145623
TAE684	ENSG00000196924
TAE684	ENSG00000057019
TAE684	ENSG00000115641
TAE684	ENSG00000039560
TAE684	ENSG00000142871
TAE684	ENSG00000119326
TAE684	ENSG00000118513
TAE684	ENSG00000091136
TAE684	ENSG00000124145
TAE684	ENSG00000089159
TAE684	ENSG00000163430
TAE684	ENSG00000197702
TAE684	ENSG00000114019
TAE684	ENSG00000106366
TAE684	ENSG00000072110
TAE684	ENSG00000035862
TAE684	ENSG00000019144
TAE684	ENSG00000150687
TAE684	ENSG00000126458
TAE684	ENSG00000122786
TAE684	ENSG00000183696
TAE684	ENSG00000165886
TAE684	ENSG00000123159
TAE684	ENSG00000135862
TAE684	ENSG00000155366
TAE684	ENSG00000032219
TAE684	ENSG00000167524
TAE684	ENSG00000115310
TAE684	ENSG00000167601
TAE684	ENSG00000121289
TAE684	ENSG00000072682
TAE684	ENSG00000168421
TAE684	ENSG00000166741
TAE684	ENSG00000134013
TAE684	ENSG00000136830
TAE684	ENSG00000124406
TAE684	ENSG00000120708
TAE684	ENSG00000175592
TAE684	ENSG00000049245
TAE684	ENSG00000145431
TAE684	ENSG00000176014
TAE684	ENSG00000105971
TAE684	ENSG00000132326
TAE684	ENSG00000136240
TAE684	ENSG00000044115
TAE684	ENSG00000168938
TAE684	ENSG00000142627
TAE684	ENSG00000128595
TAE684	ENSG00000008256
TAE684	ENSG00000144824
TAE684	ENSG00000164406
TAE684	ENSG00000137801
TAE684	ENSG00000119778
TAE684	ENSG00000102024
TAE684	ENSG00000083444
TAE684	ENSG00000140416
TAE684	ENSG00000024422
TAE684	ENSG00000183011
TAE684	ENSG00000143333
TAE684	ENSG00000197008
TAE684	ENSG00000140265
TAE684	ENSG00000183853
TAE684	ENSG00000197879
TAE684	ENSG00000128791
TAE684	ENSG00000100196
TAE684	ENSG00000127920
TAE684	ENSG00000188026
TAE684	ENSG00000125148
TAE684	ENSG00000189171
TAE684	ENSG00000137962
TAE684	ENSG00000163050
TAE684	ENSG00000156304
TAE684	ENSG00000150593
TAE684	ENSG00000196141
TAE684	ENSG00000162734
TAE684	ENSG00000135631
TAE684	ENSG00000197747
TAE684	ENSG00000144959
TAE684	ENSG00000071967
TAE684	ENSG00000100650
TAE684	ENSG00000048052
TAE684	ENSG00000147010
TAE684	ENSG00000116030
TAE684	ENSG00000150991
TAE684	ENSG00000103496
TAE684	ENSG00000049759
TAE684	ENSG00000091409
TAE684	ENSG00000138448
TAE684	ENSG00000136044
TAE684	ENSG00000134569
TAE684	ENSG00000115414
TAE684	ENSG00000122861
TAE684	ENSG00000172889
TAE684	ENSG00000150457
TAE684	ENSG00000127191
TAE684	ENSG00000173334
TAE684	ENSG00000141736
TAE684	ENSG00000122952
