Response	Gene ENSEMBL ID
Topotecan	ENSG00000172716
Topotecan	ENSG00000116560
Topotecan	ENSG00000085840
Topotecan	ENSG00000099783
Topotecan	ENSG00000109805
Topotecan	ENSG00000092470
Topotecan	ENSG00000134748
Topotecan	ENSG00000025156
Topotecan	ENSG00000123737
Topotecan	ENSG00000142856
Topotecan	ENSG00000176390
Topotecan	ENSG00000125944
Topotecan	ENSG00000111605
Topotecan	ENSG00000149136
Topotecan	ENSG00000138668
Topotecan	ENSG00000142864
Topotecan	ENSG00000104897
Topotecan	ENSG00000121211
Topotecan	ENSG00000164104
Topotecan	ENSG00000156876
Topotecan	ENSG00000071994
Topotecan	ENSG00000117133
Topotecan	ENSG00000104885
Topotecan	ENSG00000145041
Topotecan	ENSG00000140451
Topotecan	ENSG00000115053
Topotecan	ENSG00000156509
Topotecan	ENSG00000164754
Topotecan	ENSG00000029363
Topotecan	ENSG00000136450
Topotecan	ENSG00000119640
Topotecan	ENSG00000167755
Topotecan	ENSG00000163510
Topotecan	ENSG00000156261
Topotecan	ENSG00000077097
Topotecan	ENSG00000121152
Topotecan	ENSG00000130254
Topotecan	ENSG00000111364
Topotecan	ENSG00000066557
Topotecan	ENSG00000079246
Topotecan	ENSG00000153044
Topotecan	ENSG00000183431
Topotecan	ENSG00000161847
Topotecan	ENSG00000213390
Topotecan	ENSG00000128951
Topotecan	ENSG00000148835
Topotecan	ENSG00000112249
Topotecan	ENSG00000071626
Topotecan	ENSG00000123136
Topotecan	ENSG00000183137
Topotecan	ENSG00000039123
Topotecan	ENSG00000119397
Topotecan	ENSG00000167670
Topotecan	ENSG00000103995
Topotecan	ENSG00000145386
Topotecan	ENSG00000159055
Topotecan	ENSG00000155858
Topotecan	ENSG00000075275
Topotecan	ENSG00000141384
Topotecan	ENSG00000000003
Topotecan	ENSG00000106701
Topotecan	ENSG00000088247
Topotecan	ENSG00000154727
Topotecan	ENSG00000104626
Topotecan	ENSG00000137801
Topotecan	ENSG00000104738
Topotecan	ENSG00000156136
Topotecan	ENSG00000177084
Topotecan	ENSG00000113649
Topotecan	ENSG00000012963
Topotecan	ENSG00000076003
Topotecan	ENSG00000112339
Topotecan	ENSG00000097046
Topotecan	ENSG00000133226
Topotecan	ENSG00000137804
Topotecan	ENSG00000168890
Topotecan	ENSG00000109606
Topotecan	ENSG00000239306
Topotecan	ENSG00000100523
Topotecan	ENSG00000164758
Topotecan	ENSG00000134186
Topotecan	ENSG00000159259
Topotecan	ENSG00000129347
Topotecan	ENSG00000132780
Topotecan	ENSG00000137574
Topotecan	ENSG00000155189
Topotecan	ENSG00000154473
Topotecan	ENSG00000168938
Topotecan	ENSG00000113368
Topotecan	ENSG00000112029
Topotecan	ENSG00000135913
Topotecan	ENSG00000109685
Topotecan	ENSG00000129810
Topotecan	ENSG00000164105
Topotecan	ENSG00000111880
Topotecan	ENSG00000143942
Topotecan	ENSG00000115866
Topotecan	ENSG00000163808
Topotecan	ENSG00000135365
Topotecan	ENSG00000157869
Topotecan	ENSG00000196591
Topotecan	ENSG00000117399
Topotecan	ENSG00000151849
Topotecan	ENSG00000004897
Topotecan	ENSG00000143382
Topotecan	ENSG00000163950
Topotecan	ENSG00000142731
Topotecan	ENSG00000103932
Topotecan	ENSG00000102871
Topotecan	ENSG00000130764
Topotecan	ENSG00000077254
Topotecan	ENSG00000056050
Topotecan	ENSG00000115524
Topotecan	ENSG00000115267
Topotecan	ENSG00000107201
Topotecan	ENSG00000131475
Topotecan	ENSG00000006659
Topotecan	ENSG00000102054
Topotecan	ENSG00000117601
Topotecan	ENSG00000116478
Topotecan	ENSG00000141027
Topotecan	ENSG00000100603
Topotecan	ENSG00000168148
Topotecan	ENSG00000088888
Topotecan	ENSG00000125835
Topotecan	ENSG00000096401
Topotecan	ENSG00000132475
Topotecan	ENSG00000085511
Topotecan	ENSG00000125743
Topotecan	ENSG00000184584
Topotecan	ENSG00000116350
Topotecan	ENSG00000162521
Topotecan	ENSG00000154914
Topotecan	ENSG00000115163
