Response	Gene ENSEMBL ID
Sorafenib	ENSG00000147465
Sorafenib	ENSG00000266967
Sorafenib	ENSG00000101425
Sorafenib	ENSG00000168010
Sorafenib	ENSG00000206561
Sorafenib	ENSG00000179542
Sorafenib	LRG_461
Sorafenib	ENSG00000059588
Sorafenib	ENSG00000168264
Sorafenib	ENSG00000125084
Sorafenib	ENSG00000274736
Sorafenib	ENSG00000198753
Sorafenib	ENSG00000135744
Sorafenib	ENSG00000011478
Sorafenib	ENSG00000159915
Sorafenib	ENSG00000165028
Sorafenib	ENSG00000163050
Sorafenib	ENSG00000100448
Sorafenib	ENSG00000114978
Sorafenib	ENSG00000143340
Sorafenib	ENSG00000118242
Sorafenib	ENSG00000089351
Sorafenib	ENSG00000187187
Sorafenib	ENSG00000110011
Sorafenib	ENSG00000137841
Sorafenib	ENSG00000101751
Sorafenib	ENSG00000168067
Sorafenib	ENSG00000175711
Sorafenib	ENSG00000180044
Sorafenib	ENSG00000239756
Sorafenib	ENSG00000172232
Sorafenib	ENSG00000104043
Sorafenib	ENSG00000013588
Sorafenib	ENSG00000084073
Sorafenib	ENSG00000198440
Sorafenib	ENSG00000146278
Sorafenib	ENSG00000118420
Sorafenib	ENSG00000096433
Sorafenib	ENSG00000198382
Sorafenib	ENSG00000269699
Sorafenib	ENSG00000112234
Sorafenib	ENSG00000121900
Sorafenib	ENSG00000185670
Sorafenib	ENSG00000228875
Sorafenib	ENSG00000233795
Sorafenib	ENSG00000152518
Sorafenib	ENSG00000101546
Sorafenib	ENSG00000267508
Sorafenib	LOC151174
Sorafenib	ENSG00000189007
Sorafenib	C6orf164
Sorafenib	ENSG00000084754
Sorafenib	ENSG00000158717
Sorafenib	ENSG00000177374
Sorafenib	ENSG00000149516
Sorafenib	ENSG00000105383
Sorafenib	ENSG00000126091
Sorafenib	ENSG00000135297
Sorafenib	ENSG00000182048
Sorafenib	ENSG00000050767
Sorafenib	ENSG00000020181
Sorafenib	ENSG00000185504
Sorafenib	ENSG00000189298
Sorafenib	ENSG00000136444
Sorafenib	ENSG00000175224
Sorafenib	ENSG00000126246
Sorafenib	ENSG00000171812
Sorafenib	ENSG00000139433
Sorafenib	ENSG00000186652
Sorafenib	ENSG00000112658
Sorafenib	ENSG00000174776
Sorafenib	ENSG00000112053
Sorafenib	ENSG00000237071
Sorafenib	ENSG00000196378
Sorafenib	ENSG00000144366
Sorafenib	ENSG00000168995
Sorafenib	ENSG00000133246
Sorafenib	ENSG00000105472
Sorafenib	ENSG00000280661
Sorafenib	ENSG00000141627
Sorafenib	ENSG00000160584
Sorafenib	ENSG00000172732
Sorafenib	LOC201477
Sorafenib	LOC100507557
Sorafenib	ENSG00000142046
Sorafenib	ENSG00000117394
Sorafenib	LOC100506585
Sorafenib	ENSG00000183258
Sorafenib	ENSG00000163283
Sorafenib	ENSG00000167220
Sorafenib	ENSG00000125386
Sorafenib	ENSG00000135365
Sorafenib	ENSG00000185650
Sorafenib	ENSG00000080546
Sorafenib	ENSG00000227761
Sorafenib	C5orf62
Sorafenib	ENSG00000255833
Sorafenib	ENSG00000129951
Sorafenib	ENSG00000121807
Sorafenib	ENSG00000121578
Sorafenib	ENSG00000206280
Sorafenib	ENSG00000137171
Sorafenib	ENSG00000129691
Sorafenib	ENSG00000182795
Sorafenib	ENSG00000152760
Sorafenib	LOC254128
Sorafenib	ENSG00000125869
Sorafenib	LOC100505763
Sorafenib	ENSG00000119535
Sorafenib	ENSG00000197776
Sorafenib	ENSG00000101871
Sorafenib	ENSG00000010318
Sorafenib	ENSG00000134028
Sorafenib	ENSG00000172322
Sorafenib	ENSG00000093072
Sorafenib	ENSG00000102362
Sorafenib	ENSG00000136810
Sorafenib	ENSG00000116191
Sorafenib	ENSG00000154832
Sorafenib	ENSG00000249471
Sorafenib	ENSG00000165511
Sorafenib	ENSG00000147145
Sorafenib	LRG_607
Sorafenib	ENSG00000010278
Sorafenib	ENSG00000137764
Sorafenib	ENSG00000187626
Sorafenib	ENSG00000145390
Sorafenib	ENSG00000141934
Sorafenib	ENSG00000185122
Sorafenib	ENSG00000205822
Sorafenib	ENSG00000116337
Sorafenib	ENSG00000179178
Sorafenib	ENSG00000164645
Sorafenib	ENSG00000166394
Sorafenib	ENSG00000114529
Sorafenib	ENSG00000215522
Sorafenib	ENSG00000167645
Sorafenib	ENSG00000087008
Sorafenib	ENSG00000110077
Sorafenib	ENSG00000101752
Sorafenib	LOC286367
Sorafenib	ENSG00000184730
Sorafenib	ENSG00000105855
Sorafenib	ENSG00000089356
Sorafenib	ENSG00000114204
Sorafenib	ENSG00000120332
Sorafenib	ENSG00000109906
Sorafenib	ENSG00000105967
Sorafenib	ENSG00000268500
Sorafenib	C6orf108
Sorafenib	SIGLECP3
Sorafenib	ENSG00000116906
Sorafenib	ENSG00000167261
Sorafenib	ENSG00000101251
Sorafenib	ENSG00000174780
Sorafenib	ENSG00000145029
Sorafenib	ENSG00000064545
Sorafenib	ENSG00000130522
Sorafenib	ENSG00000102554
Sorafenib	ENSG00000214189
Sorafenib	ENSG00000223887
Sorafenib	ENSG00000101639
Sorafenib	ENSG00000118046
Sorafenib	ENSG00000185559
Sorafenib	ENSG00000203875
Sorafenib	ENSG00000131848
Sorafenib	ENSG00000261371
Sorafenib	LOC80054
Sorafenib	ENSG00000181656
Sorafenib	ENSG00000108773
Sorafenib	ENSG00000162426
Sorafenib	ENSG00000175857
Sorafenib	ENSG00000104805
Sorafenib	ENSG00000175489
Sorafenib	ENSG00000171109
Sorafenib	ENSG00000163913
Sorafenib	ENSG00000113119
Sorafenib	ENSG00000158473
Sorafenib	LOC100129195
Sorafenib	ENSG00000165526
Sorafenib	ENSG00000023191
Sorafenib	ENSG00000165171
Sorafenib	ENSG00000188580
Sorafenib	ENSG00000140326
Sorafenib	ENSG00000123388
Sorafenib	ENSG00000109743
Sorafenib	ENSG00000108819
Sorafenib	ENSG00000163421
Sorafenib	ENSG00000149499
Sorafenib	LOC100506130
Sorafenib	ENSG00000011021
Sorafenib	ENSG00000180767
Sorafenib	ENSG00000172794
Sorafenib	ENSG00000075239
Sorafenib	ENSG00000115657
Sorafenib	ENSG00000169385
Sorafenib	ENSG00000196209
Sorafenib	ENSG00000184254
Sorafenib	ENSG00000178385
Sorafenib	ENSG00000203727
Sorafenib	ENSG00000071894
Sorafenib	ENSG00000128276
Sorafenib	ENSG00000134247
Sorafenib	ENSG00000101349
Sorafenib	ENSG00000114388
Sorafenib	ENSG00000112335
Sorafenib	ENSG00000178201
Sorafenib	ENSG00000102471
Sorafenib	ENSG00000189057
Sorafenib	ENSG00000126878
Sorafenib	ENSG00000170312
Sorafenib	ENSG00000257017
Sorafenib	ENSG00000104946
Sorafenib	ENSG00000091622
Sorafenib	ENSG00000112159
Sorafenib	ENSG00000157350
Sorafenib	ENSG00000111653
Sorafenib	ENSG00000178057
Sorafenib	ENSG00000142347
Sorafenib	ENSG00000180089
Sorafenib	ENSG00000073910
Sorafenib	ENSG00000196437
Sorafenib	ENSG00000276982
Sorafenib	ENSG00000101307
Sorafenib	ENSG00000276111
Sorafenib	ENSG00000171860
Sorafenib	ENSG00000139197
Sorafenib	ENSG00000160062
Sorafenib	ENSG00000160948
Sorafenib	LRG_309
Sorafenib	ENSG00000173726
Sorafenib	ENSG00000100336
Sorafenib	ENSG00000055332
Sorafenib	LRG_41
Sorafenib	ENSG00000124571
Sorafenib	PEG3-AS1
Sorafenib	ENSG00000165879
Sorafenib	ENSG00000154856
Sorafenib	ENSG00000166908
Sorafenib	ENSG00000213865
Sorafenib	ENSG00000126821
Sorafenib	ENSG00000160219
Sorafenib	ENSG00000052344
Sorafenib	ENSG00000177425
Sorafenib	ENSG00000117595
Sorafenib	ENSG00000122490
Sorafenib	ENSG00000181938
Sorafenib	ENSG00000186439
Sorafenib	ENSG00000150681
Sorafenib	ENSG00000124225
Sorafenib	ENSG00000163235
Sorafenib	ENSG00000108883
Sorafenib	ENSG00000104903
Sorafenib	ENSG00000174611
